notion;competence;activite_enseignement;production_demandee;synthese;questions_qcm;statut_couverture
Améliorer, ce n'est pas fabriquer de zéro;5e_C7.2;Palier 1 et sous-titre (5 min);aucune;§ Améliorer, ce n'est pas recommencer;q1, q2, q3;couvert
Garder la version d'avant, pour pouvoir comparer;5e_C7.2;Palier 1 (6 min);un second onglet « Dé v2 », l'original intact;§ Améliorer, ce n'est pas recommencer;q4, q5, q6;couvert
Nommer le défaut avant de le corriger;5e_C7.2;Palier 2 (6 min);deux mots : fond plat, arête vive;§ Le défaut, en deux mots;q7, q8, q9;couvert
Retirer ce qu'on remplace, sans l'effacer;5e_C7.2;Palier 3 (6 min);la face du 1 lisse, la fonction grisée dans l'arbre;§ La bille, et où se place son centre;q10, q11;couvert
Où se place le centre de la bille;5e_C7.2;Palier 4 (10 min);un plan décalé et un point coté;§ La bille, et où se place son centre;q12, q13, q14, q15;couvert
Ce que la bille laisse dans la matière;5e_C7.2;Paliers 5 et 6 (10 min);un creux mesuré;§ Ce qu'on a mesuré;q16, q17, q18, q19;couvert
La primitive, et son mode;5e_C7.2;Palier 5 (6 min);une sphère posée en mode Retirer;§ La bille, et où se place son centre;q20, q21;couvert
Essayer sur un exemplaire, puis décider;5e_C7.2;Palier 6 (8 min);une décision écrite, avec sa raison;§ Essayer, puis décider;q22, q23, q24;couvert
Juger une amélioration;5e_C7.2;Paliers 6 et 7 (6 min);deux fichiers STL conservés;§ Essayer, puis décider;q25, q26;couvert
Ce qu'une amélioration coûte, et ne garantit pas;5e_C7.2;Palier 6 et bilan (6 min);aucune;§ Essayer, puis décider;q27, q28, q29;couvert
Ce que la 4e fera de ce dé;5e_C7.2;Palier « Et maintenant ? »;aucune;§ Améliorer, ce n'est pas recommencer;q30;couvert
