notion;code;où c'est travaillé;production de l'élève;section de synthèse;question du QCM;statut
Domaine et qualité;4e_C7.7;Act. 0;4 associations;Un moyen a un domaine, pas une qualité;q1;couvert
La matière d'abord;4e_C7.7;Act. 1;1 association + 1 réponse;La matière se lit avant tout le reste;q2;couvert
Le trou borgne;4e_C7.7;Act. 0;1 association;Un moyen a un domaine, pas une qualité;q3;couvert
Le rayon de la fraise;4e_C7.7;Act. 0 et 2;1 association + 1 relevé;Aucun moyen ne rend le dessin;q4;couvert
La fente qui rétrécit;4e_C7.7;Act. 2;1 relevé + 1 réponse;La fente qui rétrécit, et le dégagement d'angle;q5;couvert
Les dégagements d'angle;4e_C7.7;Act. 2;1 réponse;La fente qui rétrécit, et le dégagement d'angle;q6;couvert
Le trait de coupe;4e_C7.7;Act. 2;1 relevé au tableau;Aucun moyen ne rend le dessin;q7;couvert
Aucun moyen ne rend le dessin;4e_C7.7;Act. 2;2 relevés + 1 réponse;Aucun moyen ne rend le dessin;q8;couvert
L'ordre du choix;4e_C7.7;Act. 1;1 réponse;On élimine, puis on compare les temps;q9;couvert
La tolérance du sciage;4e_C7.7;Act. 1;1 association;On élimine, puis on compare les temps;q10;couvert
Préparation et temps par pièce;4e_C7.7;Act. 3;essais au menu de quantité;La quantité choisit le moyen;q11;couvert
Quatre supports;4e_C7.7;Act. 3;1 réponse chiffrée;La quantité choisit le moyen;q12;couvert
Trente supports;4e_C7.7;Act. 3;1 réponse chiffrée;La quantité choisit le moyen;q13;couvert
Le temps machine, une contrainte;4e_C7.7;Act. 3;essais au menu de quantité;« Capable » et « à temps »;q14;couvert
La quantité n'est pas sur le dessin;4e_C7.7;Act. 3;justification écrite;La quantité choisit le moyen;q15;couvert
Corriger le dessin;4e_C7.7;REFAIRE;texte de réinvestissement;Corriger le dessin n'est pas changer le cahier des charges;q16;couvert
Le PVC et le laser;4e_C7.7;Encadré atelier;lecture;Ce que l'atelier interdit;q17;couvert
Les gants à la fraiseuse;4e_C7.7;Encadré atelier;lecture;Ce que l'atelier interdit;q18;couvert
Deux jauges séparées;4e_C7.7;Act. 3;lecture des deux jauges;« Capable » et « à temps »;q19;couvert
Le collège sans laser;4e_C7.7;REFAIRE;texte de réinvestissement;Corriger le dessin n'est pas changer le cahier des charges;q20;couvert
Lire un procédé dans une forme;4e_C4.3;Act. 0;4 associations;Lire un procédé dans une forme;q21;couvert
Les stries d'impression;4e_C4.3;Act. 1;lecture de l'atelier;Lire un procédé dans une forme;q22;couvert
Le rayon de pliage;4e_C4.3;Act. 0;lecture du tableau;Lire un procédé dans une forme;q23;couvert
La contre-dépouille;4e_C4.3;Act. 0;1 association;Un moyen a un domaine, pas une qualité;q24;couvert
Découpé à plat, puis plié;4e_C4.3;Act. 0;lecture du tableau;Lire un procédé dans une forme;q25;couvert
Le congé n'est pas décoratif;4e_C4.3;Synthèse;lecture;Lire un procédé dans une forme;q26;couvert
La forme suit la série;4e_C4.3;Act. 3;justification écrite;La quantité choisit le moyen;q27;couvert
Dessiner pour la machine;4e_C4.3;REFAIRE;texte de réinvestissement;Corriger le dessin n'est pas changer le cahier des charges;q28;couvert
Deux machines, deux pièces;4e_C4.3;Act. 2;2 relevés + 3 réponses;Aucun moyen ne rend le dessin;q29;couvert
La forme dit le procédé;4e_C4.3;Synthèse;lecture;Lire un procédé dans une forme;q30;couvert
