notion;competence;activite_enseignement;production_demandee;synthese;questions_qcm;correction_disponible;statut_couverture
Prérequis — fonction technique, moyenne au tableur, donnée personnelle;5e_C1.1;Billet d'entrée (5 min, sans note);3 réponses + aiguillage;Synthèse §1;-;oui;couvert
Une donnée brute n'est pas encore une information;5e_C1.1;Act. 2 introduction;Justification;Synthèse §1;1;oui;couvert
Une valeur hors du domaine physique n'est pas une mesure;5e_C1.1;Act. 2 a (−4,2 mercredi 11 h);Relevé écrit — anomalie 1;Synthèse §3;2;oui;couvert
Un capteur bloqué — la répétition parfaite est impossible;5e_C1.1;Act. 2 a (23,7 six fois);Relevé écrit — anomalie 2;Synthèse §3;3;oui;couvert
Une donnée manquante se signale, elle ne s'invente pas;5e_C1.1;Act. 2 a (lundi 14 h);Relevé écrit — anomalie 3;Synthèse §3;4;oui;couvert
L'erreur de saisie — virgule décalée;5e_C1.1;Act. 2 a (251,0 dimanche);Relevé écrit — anomalie 4;Synthèse §3;-;oui;couvert
Ce que coûte une donnée sale — 27,4 contre 25,2;5e_C1.1;Act. 2 c et d (les deux chemins);Les deux moyennes;Synthèse §3;5;oui;couvert
Écarter du calcul n'est pas effacer du fichier;5e_C1.1;Act. 2 a et d;Note de justification;Synthèse §3;6;oui;couvert
Fonction, principe, solution — trois choses distinctes;5e_C1.2;Act. 1 a;Appariements;Synthèse §2;7 et 8;oui;couvert
Une fonction n'impose pas sa solution;5e_C1.2;Act. 1 a et b;Justification;Synthèse §2;8;oui;couvert
Un critère se juge par rapport à l'usage — le délai;5e_C1.2;Act. 1 b (gravimétrie, 24 h);Justification;Synthèse §2;9;oui;couvert
Un critère qui élimine au lieu de peser;5e_C1.2;Act. 1 b (source radioactive);Justification;Synthèse §2;10;oui;couvert
Choisir, c'est renoncer — nommer ce qu'on perd;5e_C1.2;Act. 1 c;Défense écrite du principe retenu;Synthèse §2;11;oui;couvert
Ce qu'est un système d'information — personnes, outils, règles;5e_C1.3;Act. 4 a;Appariement;Synthèse §5;12;oui;couvert
Où la donnée devient une information — le traitement;5e_C1.3;Act. 4 a;Justification;Synthèse §5;13;oui;couvert
Travailler sur une copie — l'original reste intact;5e_C1.3;Act. 4 a;Justification;Synthèse §5;14;oui;couvert
Une erreur à la source se propage à tous les étages;5e_C1.3;Act. 4 a;Justification;Synthèse §5;15;oui;couvert
Écrire qui a le droit d'écrire — savoir où chercher;5e_C1.3;Act. 4 b;Schéma écrit des quatre étages;Synthèse §5;16;oui;couvert
Un nom dit ce que c'est, pas ce qu'on en pense;5e_C1.4;Act. 3 a;Appariement;Synthèse §4;17;oui;couvert
La date en AAAA-MM-JJ — le tri alphabétique devient chronologique;5e_C1.4;Act. 3 a;Règle de nommage 2;Synthèse §4;18;oui;couvert
Le doublon n'est pas une sauvegarde;5e_C1.4;Act. 3 a;Justification;Synthèse §4;19;oui;couvert
Ni espaces, ni accents, ni majuscules — survivre au voyage;5e_C1.4;Act. 3 a;Règle de nommage 3;Synthèse §4;20;oui;couvert
Chaque niveau d'arborescence doit réduire la recherche;5e_C1.4;Act. 3 b;Arborescence renommée;Synthèse §4;21;oui;couvert
La première question après un incident — qui avait le droit;5e_C1.5;Act. 5 a;Appariement;Synthèse §6;22;oui;couvert
Le droit minimal — lire ne demande pas d'écrire;5e_C1.5;Act. 5 a et b;Mesure de sécurité 1;Synthèse §6;23;oui;couvert
Une version datée permet de comparer, donc de réparer;5e_C1.5;Act. 5 a et b;Mesure de sécurité 3;Synthèse §6;24;oui;couvert
Accessible n'est pas libre — licence et citation de la source;5e_C1.5;Act. 5 a;Justification;Synthèse §6;25;oui;couvert
Un mot de passe partagé ne protège plus et ne prouve plus;5e_C1.5;Act. 5 a et b;Mesure de sécurité 2;Synthèse §6;26;oui;couvert
Exacte et inacceptable — la publication qui nomme;5e_C1.6;Act. 5 c (publication A);Justification;Synthèse §7;27;oui;couvert
Acceptable et inutile — protéger en supprimant l'utilité;5e_C1.6;Act. 5 c (publication B);Justification;Synthèse §7;28;oui;couvert
Désigner sans nommer — l'identification indirecte;5e_C1.6;Act. 5 c;Justification;Synthèse §7;29;oui;couvert
Désigner une organisation plutôt qu'une personne;5e_C1.6;Act. 5 c (publication C);Publication rédigée + ce qu'elle écarte;Synthèse §7;30;oui;couvert
