notion;code;où c'est travaillé;production de l'élève;section de synthèse;question du QCM;statut
Comparer et préférer;4e_C7.3;Act. 0;4 associations;Comparer n'est pas préférer;q1;couvert
Le plus adapté à quoi;4e_C7.3;Act. 0;4 associations;Comparer n'est pas préférer;q2;couvert
Prix d'achat et coût;4e_C7.3;Act. 2;4 relevés au banc;Un prix d'achat n'est pas un coût;q3;couvert
Nombre de remplacements;4e_C7.3;Act. 2;4 relevés au banc;Un prix d'achat n'est pas un coût;q4;couvert
Inversion à quinze ans;4e_C7.3;Act. 2;4 relevés + 1 réponse;Le classement appartient à la durée;q5;couvert
Second retournement;4e_C7.3;Act. 3;1 réponse;Le classement appartient à la durée;q6;couvert
Durer trop longtemps;4e_C7.3;Act. 3;1 réponse;Durer trop longtemps coûte aussi;q7;couvert
La durée est une décision;4e_C7.3;Act. 3;justification écrite;La durée de comparaison s'écrit;q8;couvert
Ramener à la même unité;4e_C7.3;Act. 2;4 relevés au banc;Comparer n'est pas préférer;q9;couvert
Recalé sur la recyclabilité;4e_C7.3;Act. 1;1 association + 1 réponse;Le revers arrive à la fin de vie;q10;couvert
Engagement et contrainte physique;4e_C7.3;Act. 0;1 association;Une exigence peut venir d'un engagement;q11;couvert
Deux motifs pour l'acier;4e_C7.3;Act. 1;1 association;Un candidat peut manquer plusieurs seuils;q12;couvert
Exigence de l'objet, pas du site;4e_C7.3;REFAIRE;texte de réinvestissement;Du site, ou de l'objet;q13;couvert
Trois fabrications;4e_C7.3;Act. 3;1 réponse;Un prix ne compte que la matière;q14;couvert
Recyclable et impact;4e_C7.3;Act. 3;1 réponse;Un prix ne compte que la matière;q15;couvert
Ce que le banc ne mesure pas;4e_C7.3;Act. 3;correction lue;Une comparaison dit ce qu'elle ne mesure pas;q16;couvert
Le prix n'est pas une exigence;4e_C7.3;Act. 0;correction lue;Comparer n'est pas préférer;q17;couvert
Comparer sur quatre ans;4e_C7.3;Act. 3;essais au banc;Le classement appartient à la durée;q18;couvert
Comparer les mêmes bacs;4e_C7.3;Act. 1;évaluation au banc;Le même service rendu;q19;couvert
Écrire la durée retenue;4e_C7.3;Act. 3;justification écrite;La durée de comparaison s'écrit;q20;couvert
Même besoin, objets différents;4e_C3.2;Act. 1;évaluation au banc;Le même service rendu;q21;couvert
Les étapes du cycle de vie;4e_C3.2;Synthèse;lecture;Les cinq étapes du cycle de vie;q22;couvert
Comparaison quantitative;4e_C3.2;Act. 2;4 relevés au banc;Comparer n'est pas préférer;q23;couvert
Bilan carbone;4e_C3.2;Act. 3;1 réponse;Les cinq étapes du cycle de vie;q24;couvert
Objet réparable;4e_C3.2;Bonus;recherche des deux bascules;Durer trop longtemps coûte aussi;q25;couvert
Arrêter un choix;4e_C3.2;Act. 3;justification écrite;La durée de comparaison s'écrit;q26;couvert
Ce qu'une comparaison ne mesure pas;4e_C3.2;Act. 3;correction lue;Une comparaison dit ce qu'elle ne mesure pas;q27;couvert
Trois piliers;4e_C3.2;Synthèse;lecture;Une comparaison dit ce qu'elle ne mesure pas;q28;couvert
Remplacer souvent;4e_C3.2;Act. 3;1 réponse;Un prix ne compte que la matière;q29;couvert
Comparer avec des sources;4e_C3.2;Bonus;une phrase écrite;Une comparaison dit ce qu'elle ne mesure pas;q30;couvert
