notion;competence;activite_enseignement;production_demandee;synthese;questions_qcm;statut_couverture
Brancher n'est pas interfacer;4e_C7.8;Rappel d'entrée + Act. 0 (25 min);3 réponses après essai;§ Les neuf points;q1, q20;couvert (verrou : message essayé)
Le message suffisant;4e_C7.8;Act. 0 et 1 (40 min);message composé au banc;§ Le message retenu;q2;couvert (verrou : message valide)
L'identifiant, et quand l'écrire;4e_C7.8;Act. 1 (20 min);1 réponse + message;§ Le message retenu;q3, q4, q19;couvert
L'unité : un nombre n'est pas une grandeur;4e_C7.8;Act. 0 et 1 (40 min);2 réponses;§ Le message retenu;q5;couvert
L'horodatage de la mesure;4e_C7.8;Act. 1 et 3 (40 min);1 réponse + 1 relevé au banc;§ Le message retenu;q6, q12;couvert (verrou : lien coupé)
Ce qu'on n'envoie pas : le volume;4e_C7.8;Act. 1 et 4 (30 min);1 réponse + 4 associations;§ Ce qu'on n'envoie pas;q7;couvert
Qui prend l'initiative;4e_C7.8;Act. 2 (15 min);3 réponses;§ Les neuf points;q8;couvert
Le rythme d'émission;4e_C7.8;Act. 2 (15 min);1 réponse;§ Les neuf points;q9;couvert
Un silence est une ambiguïté;4e_C7.8;Act. 2 et REFAIRE (25 min);1 réponse + 4 lignes;§ Les neuf points;q10, q15;couvert
Le comportement hors ligne;4e_C7.8;Act. 3 (20 min);3 réponses + 1 phrase;§ Dégradé, pas éteint;q11, q12, q13, q14;couvert (verrou : lien coupé)
Deux champs pour une décision;4e_C7.8;REFAIRE (10 min);4 lignes;§ Le message retenu;q16;couvert
Le format et son contrat;4e_C7.8;Act. 1 et bonus (25 min);message recopié + défi;§ Le message retenu;q17, q18;couvert
La donnée personnelle dans une mesure;4e_C1.4;Encadré + Act. 1 et 4 (35 min);1 réponse + 4 associations;§ Ce qu'on n'envoie pas;q21, q29;couvert
Un secret ne circule pas;4e_C1.4;Encadré + Act. 4 (15 min);4 associations;§ Ce qu'on n'envoie pas;q22;couvert
Géolocalisation et traces;4e_C1.4;Encadré (5 min);lecture;§ Ce qu'on n'envoie pas;q23, q25;couvert
Ne collecter que ce qui sert;4e_C1.4;Act. 1 et 4 (30 min);1 réponse + 4 associations;§ Ce qu'on n'envoie pas;q24, q28;couvert
Ce qu'un objet du réseau expose;4e_C1.4;Encadré (5 min);lecture;§ Ce qu'on n'envoie pas;q26, q27, q30;couvert
