notion;code;où c'est travaillé;production de l'élève;section de synthèse;question du QCM;statut
Les quatre fonctions d'un prototype;5e_C7.5;Act. 0;5 associations;Les quatre fonctions;q1;couvert
La fonction acquérir;5e_C7.5;Act. 0 et 1;1 association + montage;Les quatre fonctions;q2;couvert
La fonction traiter;5e_C7.5;Act. 0 et 1;1 association + montage;Les quatre fonctions;q3;couvert
La fonction agir;5e_C7.5;Act. 0;1 association;Les quatre fonctions;q4;couvert
La fonction alimenter;5e_C7.5;Act. 0 et 2;1 association + 1 retrait;Les quatre fonctions;q5;couvert
Un constituant hors des quatre fonctions;5e_C7.5;Act. 0;1 association;Le constituant hors fonctions;q6;couvert
Entrée analogique et entrée numérique;5e_C7.5;Act. 1;montage validé au banc;Le type de port;q7;couvert
Choisir le port d'un capteur de luminosité;5e_C7.5;Act. 1;1 réponse + montage;Le type de port;q8;couvert
Choisir le port d'un actionneur simple;5e_C7.5;Act. 1;montage validé au banc;Le type de port;q9;couvert
L'accord entre le branchement et le programme;5e_C7.5;Act. 1;montage validé au banc;Branchement et programme;q10;couvert
Retirer le capteur;5e_C7.5;Act. 2;1 association après retrait;Retirer pour comprendre;q11;couvert
Retirer l'actionneur;5e_C7.5;Act. 2;1 association après retrait;Retirer pour comprendre;q12;couvert
Retirer la carte;5e_C7.5;Act. 2;1 association après retrait;Retirer pour comprendre;q13;couvert
Retirer l'alimentation;5e_C7.5;Act. 2;1 association après retrait;Retirer pour comprendre;q14;couvert
Le premier geste du montage;5e_C7.5;Act. 3;5 gestes remis en ordre;L'ordre du montage;q15;couvert
L'alimentation en dernier;5e_C7.5;Act. 3;1 réponse;L'ordre du montage;q16;couvert
Le dernier geste n'est pas un branchement;5e_C7.5;Act. 3;5 gestes remis en ordre;L'ordre du montage;q17;couvert
Très basse tension;5e_C7.5;Encadré sécurité + Act. 3;lecture + 1 réponse;L'ordre du montage;q18;couvert
Deux constituants pour une même fonction;5e_C7.5;REFAIRE;texte de réinvestissement;Les quatre fonctions;q19;couvert
Un constituant qu'aucun programme ne lit;5e_C7.5;REFAIRE;texte de réinvestissement;Branchement et programme;q20;couvert
Définition de la chaîne d'information;5e_C4.5;Act. 0;5 associations;La chaîne d'information;q21;couvert
L'ordre des maillons;5e_C4.5;Act. 0;5 associations;La chaîne d'information;q22;couvert
Ce qu'un capteur fournit;5e_C4.5;Act. 0 et 1;1 association + montage;La chaîne d'information;q23;couvert
Capteur ou actionneur;5e_C4.5;Act. 0;1 association;La chaîne d'information;q24;couvert
Le rôle du programme dans la chaîne;5e_C4.5;Act. 1;lecture du programme;Branchement et programme;q25;couvert
Une grandeur, une unité;5e_C4.5;Act. 1;lecture du banc;La chaîne d'information;q26;couvert
Chaîne d'information et chaîne d'énergie;5e_C4.5;Act. 2;1 association après retrait;La chaîne d'information;q27;couvert
Repérer le maillon manquant;5e_C4.5;Act. 2;4 associations;Retirer pour comprendre;q28;couvert
Décrire une chaîne, pas une liste;5e_C4.5;Synthèse;lecture;La chaîne d'information;q29;couvert
Le même capteur dans deux objets;5e_C4.5;REFAIRE;texte de réinvestissement;La chaîne d'information;q30;couvert
