notion;competence;activite_enseignement;production_demandee;synthese;questions_qcm;statut_couverture
Dimensionner sur le pire cas;3e_C7.4;Act. 0 (20 min);3 réponses après essai;§ Les huit points;q1, q2;couvert (verrou : 5 sources)
Du besoin quotidien au besoin sur une durée;3e_C7.4;Act. 1 (25 min);1 calcul (18,12 Wh);§ L'architecture retenue;q3;couvert
Énergie utile après conversion;3e_C7.4;Act. 1 (25 min);1 calcul (18,8 Wh);§ L'architecture retenue;q4;couvert
Calculer et juger une marge;3e_C7.4;Act. 1 (25 min);1 calcul + 1 réponse;§ Tout juste n'est pas assez;q5, q6, q8;couvert
Le vieillissement d'un accumulateur;3e_C7.4;Act. 1 (25 min);1 réponse;§ Tout juste n'est pas assez;q7;couvert
Le réseau tombe quand l'objet sert;3e_C7.4;Situation + Act. 2 (30 min);3 réponses;§ L'architecture retenue;q9;couvert
Recharger n'est pas tenir;3e_C7.4;Act. 2 (25 min);3 réponses + 1 phrase;§ Les huit points;q10, q11, q15;couvert
Un composant extérieur est une pièce mécanique;3e_C7.4;Act. 2 (25 min);1 réponse;§ Les huit points;q12;couvert
« Autonome » se complète toujours;3e_C7.4;Act. 2 (25 min);1 phrase;§ Les huit points;q13;couvert
Une architecture, pas une source;3e_C7.4;Act. 4 (30 min);3 réponses + avis;§ L'architecture retenue;q14;couvert
Un secours se teste;3e_C7.4;Act. 4 et bonus (30 min);avis rédigé;§ Ce que le choix coûte;q16;couvert
Annoncer l'entretien;3e_C7.4;Act. 4 (30 min);avis rédigé;§ Ce que le choix coûte;q17;couvert
La charge avant la source, sur un site isolé;3e_C7.4;REFAIRE (20 min);4 lignes;§ Les huit points;q18, q19;couvert
Sécurité : un accu Li-ion n'est pas une pile;3e_C7.4;Encadré (5 min);lecture;§ Sécurité;q20;couvert
Le cycle de vie des sources;3e_C3.2;Act. 3 (30 min);5 associations;§ Le cycle de vie;q21, q22, q23;couvert
L'énergie du réseau vient d'ailleurs;3e_C3.2;Act. 3 (30 min);5 associations;§ Le cycle de vie;q24;couvert
Ce qui n'est pas une source en a quand même un;3e_C3.2;Act. 3 (30 min);5 associations;§ Le cycle de vie;q25;couvert
Argumenter par usage, avec un nombre;3e_C3.2;Act. 3 (30 min);1 calcul (787 piles);§ Le cycle de vie;q26, q27, q29;couvert
Les trois piliers et la fin de vie;3e_C3.2;Act. 3 et 4 (60 min);avis rédigé;§ Le cycle de vie;q28, q30;couvert
