notion;competence;activite_enseignement;production_demandee;synthese;questions_qcm;statut_couverture
Mettre en œuvre : choisir la question;3e_C8.1;Act. 1 (20 min);2 réponses après un lancement;§ Les sept mots;q1;couvert (verrou regle)
Régler un instrument sur une réponse connue;3e_C8.1;Act. 1 (20 min);1 réponse justifiée;§ Trois réglages, quatre verdicts;q2;couvert (verrou regle)
Le banc applique la même force à tous;3e_C8.1;Act. 2 (25 min);tableau des moments comparé;§ Ce que le banc appliquait;q3, q7;couvert (verrou vent)
La charge du vent dépend de la pièce;3e_C8.1;Act. 2 (25 min);3 réponses après relance;§ Ce que le banc appliquait;q4, q5, q6;couvert (verrou vent)
La pression dépend du carré de la vitesse;3e_C8.1;Act. 5 (15 min);2 réponses de réinvestissement;§ Les sept mots;q11, q12;couvert
Choisir la limite de comparaison;3e_C8.1;Act. 3 (20 min);2 nombres relevés + 1 réponse;§ Trois réglages, quatre verdicts;q8, q9;couvert (verrou bonreglage)
Une exigence ne s'abaisse pas;3e_C8.1;Act. 4 (25 min);1 réponse justifiée;§ La hauteur n'est pas une variable;q10;couvert (verrou bonreglage)
Deux critères se cumulent;3e_C8.1;Act. 4 (25 min);1 réponse;§ Trois réglages, quatre verdicts;q14;couvert
Bon résultat, mauvais raisonnement;3e_C8.1;Act. 4 (25 min);1 réponse rédigée;§ Trois réglages, quatre verdicts;q15, q16;couvert
L'angle mort partagé : la fatigue;3e_C8.1;Act. 4 (25 min);1 réserve écrite;§ L'angle mort partagé;q17, q20;couvert
Les limites du modèle;3e_C8.1;Act. 5 et bonus (15 min);2 réponses;§ L'angle mort partagé;q13, q18, q19;couvert
Définir et exécuter un protocole de mesure;3e_C3.4;Act. 3 et 4 (45 min);conditions de mesure écrites;§ La hauteur n'est pas une variable;q21, q22, q23, q24, q25;couvert
Ce qui rend une mesure valide;3e_C3.4;Act. 4 (25 min);1 réponse justifiée;§ La hauteur n'est pas une variable;q26, q27, q28, q29, q30;couvert
