notion;code;où c'est travaillé;production de l'élève;section de synthèse;question du QCM;statut
La machine n'interdit pas;3e_C7.7;Act. 0;1 réponse;Une machine signale, puis elle exécute;q1;couvert
L'empreinte d'un moyen;3e_C7.7;Act. 0;4 associations;L'empreinte d'un moyen;q2;couvert
Le surplomb à 45 degrés;3e_C7.7;Act. 1 et 2;1 association + 1 cote corrigée;Une cote se corrige au pas de la machine;q3;couvert
Le prix d'un support;3e_C7.7;Act. 1;1 association;L'empreinte d'un moyen;q4;couvert
La couche et la rainure;3e_C7.7;Act. 1 et 2;1 association + 1 cote corrigée;Une cote se corrige au pas de la machine;q5;couvert
Le jeu du couvercle;3e_C7.7;Act. 1 et 2;1 association + 1 cote corrigée;Une cote se corrige au pas de la machine;q6;couvert
Le jeu et l'étanchéité;3e_C7.7;Act. 2;correction lue;Corriger le dessin, pas le cahier des charges;q7;couvert
Corriger le dessin;3e_C7.7;Act. 2;1 réponse;Corriger le dessin, pas le cahier des charges;q8;couvert
Deux gestes différents;3e_C7.7;Act. 2;1 réponse;Corriger le dessin, pas le cahier des charges;q9;couvert
Ne pas toucher ce qui va;3e_C7.7;Act. 1 et 2;1 réponse + jauge de droite;Ne pas toucher ce qui va;q10;couvert
D'où vient la paroi;3e_C7.7;Act. 1;1 réponse;Ne pas toucher ce qui va;q11;couvert
Les trois corrections ensemble;3e_C7.7;Bonus;essais au compte-gouttes;Il faut les trois corrections;q12;couvert
Une seule fournée;3e_C7.7;Act. 3;3 associations;Une seule fournée;q13;couvert
Le contrôle sur la première pièce;3e_C7.7;Act. 3;note de lancement écrite;Le contrôle sur la première pièce;q14;couvert
La note de lancement;3e_C7.7;Act. 3;note de lancement écrite;Le contrôle sur la première pièce;q15;couvert
Disponible et capable;3e_C7.7;REFAIRE;texte de réinvestissement;Disponible n'est pas capable;q16;couvert
La fraiseuse et le volume fermé;3e_C7.7;REFAIRE;texte de réinvestissement;Disponible n'est pas capable;q17;couvert
Le coût d'un essai;3e_C7.7;Version 🅰;éprouvette de coin imprimée;Le contrôle sur la première pièce;q18;couvert
Sécurité de l'impression;3e_C7.7;Encadré atelier;lecture;Ce que l'atelier impose;q19;couvert
Faire remonter la fabrication;3e_C7.7;Synthèse;lecture;Une machine signale, puis elle exécute;q20;couvert
Ce que calcule une simulation;3e_C8.1;Act. 3;correction lue;Ce qu'une simulation sait, et ce qu'elle ignore;q21;couvert
Von Mises et limite élastique;3e_C8.1;Act. 3;correction lue;Ce qu'une simulation sait, et ce qu'elle ignore;q22;couvert
Le matériau assigné;3e_C8.1;Act. 3;correction lue;Ce qu'une simulation sait, et ce qu'elle ignore;q23;couvert
Le maillage;3e_C8.1;Act. 3;correction lue;Ce qu'une simulation sait, et ce qu'elle ignore;q24;couvert
Le coefficient de sécurité;3e_C8.1;Act. 3;correction lue;Ce qu'une simulation sait, et ce qu'elle ignore;q25;couvert
Le matériau homogène;3e_C8.1;Act. 3;1 réponse;Ce qu'une simulation sait, et ce qu'elle ignore;q26;couvert
L'anisotropie de l'impression;3e_C8.1;Act. 3;1 réponse;Ce qu'une simulation sait, et ce qu'elle ignore;q27;couvert
Ce qu'une simulation remplace;3e_C8.1;Act. 3;1 réponse;Ce qu'une simulation sait, et ce qu'elle ignore;q28;couvert
Simuler avant de produire;3e_C8.1;Act. 3;3 associations;Une seule fournée;q29;couvert
Lire un résultat;3e_C8.1;Act. 3;note de lancement écrite;Ce qu'une simulation sait, et ce qu'elle ignore;q30;couvert
