notion;competence;activite_enseignement;production_demandee;synthese;questions_qcm;statut_couverture
La contrainte ne dépend pas du matériau;5e_C8.1;Act. 1 (15 min);3 réponses après manipulation;§ Les six mots;q3, q4, q19;couvert (verrou simule)
Limite élastique et résistance à la rupture;5e_C8.1;Act. 1 et 2 (35 min);tableau du simulateur rempli;§ Les six mots;q5, q6;couvert
Le coefficient de sécurité et sa limite;5e_C8.1;Act. 2 (20 min);5 coefficients relevés;§ Le résultat qui fait toute la séquence;q7, q8, q17;couvert (verrou tous)
Le bois change de camp selon la limite;5e_C8.1;Act. 3 (20 min);3 réponses comparées au banc;§ Le résultat qui fait toute la séquence;q2, q9, q11;couvert (verrou bois)
Un écart mesuré hors critère ne prouve rien;5e_C8.1;Act. 3 (20 min);1 réponse justifiée;§ Le résultat qui fait toute la séquence;q10;couvert
Deux instruments justes, deux questions;5e_C8.1;Act. 3 (20 min);1 réponse rédigée;§ Le résultat qui fait toute la séquence;q12, q13;couvert
Ce qu'une simulation ne remplace pas;5e_C8.1;Act. 3 et bilan (10 min);1 réponse;§ Ce que la simulation ne voit pas;q14, q15;couvert
La charge de service se pèse;5e_C8.1;Cahier des charges (5 min);lecture du cahier des charges;§ Les six mots;q16;couvert
La forme agit autant que la matière;5e_C8.1;Act. 5 (10 min);2 réponses de réinvestissement;§ Le résultat qui fait toute la séquence;q18, q20;couvert
Choisir sur tous les critères à la fois;5e_C3.1;Act. 4 (20 min);1 matériau choisi + 1 réserve;§ Le choix, et ce qu'il coûte;q25, q30;couvert
Le milieu décide autant que la charge;5e_C3.1;Act. 4 (20 min);1 réponse justifiée;§ Le choix, et ce qu'il coûte;q22, q23, q24;couvert
Une propriété reliée à un usage;5e_C3.1;Act. 4 (20 min);1 réponse;§ Le choix, et ce qu'il coûte;q21, q26, q27, q28, q29;couvert
