notion;competence;activite_enseignement;production_demandee;synthese;questions_qcm;correction_disponible;statut_couverture
Contradiction mesure/réalité comme point de départ;4e_C5.1;Act. 1 (image des 3 faits);Faits relevés et verbalisés;Synthèse §1;1;oui;couvert
Symptôme vs cause (niveau 4e : prouver par des tests);4e_C5.1;Act. 1 (situation déclenchante);Distinction verbalisée;Synthèse §1;2;oui;couvert
Définition du protocole de diagnostic;4e_C5.1;Act. 1b (ordre des 6 tests);Protocole ordonné au cahier;Synthèse §1;3;oui;couvert
Test discriminant;4e_C5.1;Act. 1c-d (poste de diagnostic);Test 3 identifié comme discriminant;Synthèse §1;4;oui;couvert
Ordre des tests (du rapide à l'engageant);4e_C5.1;Act. 1b (règle du dépanneur);Justification de l'ordre;Synthèse §1;5;oui;couvert
Isoler un sous-système (marche forcée);4e_C5.1;Act. 1c (test 4 du simulateur);Pompe/tuyau innocentés;Synthèse §1;6;oui;couvert
Sécurité avant examen (couper l'alimentation);4e_C5.1;Act. 1c (test 5 du simulateur);Réflexe verbalisé;Synthèse §1;7;oui;couvert
Capteur encrassé = mesure faussée;4e_C5.1;Act. 1c (test 5 : croûte découverte);Cause expliquée;Synthèse §1;8;oui;couvert
Remplacement au hasard = anti-méthode;4e_C5.1;Act. 1 (pièges classiques);Contre-argument formulé;Synthèse §1;9;oui;couvert
Conclusion de diagnostic appuyée sur les tests;4e_C5.1;Act. 1c (test 6) + correction;Conclusion citée avec preuves;Synthèse §1;10;oui;couvert
Remplacer SANS protocole = compétence 4e;4e_C5.2;Act. 2 (vignettes non numérotées);Ordre construit par l'élève;Synthèse §2;11;oui;couvert
Premier geste : couper + photographier;4e_C5.2;Act. 2a-b (geste 1);Geste placé en n°1;Synthèse §2;12;oui;couvert
Rôle de la photo d'avant-démontage;4e_C5.2;Act. 2c (question dédiée);Justification écrite;Synthèse §2;13;oui;couvert
Comparaison neuf/ancien avant montage;4e_C5.2;Act. 2a-c (geste 3 + question);Justification compatibilité;Synthèse §2;14;oui;couvert
Remontage en ordre inverse;4e_C5.2;Act. 2 (aide niveau 2 + correction);Ordre restitué;Synthèse §2;15;oui;couvert
Test final = preuve de la chaîne complète;4e_C5.2;Act. 2 (geste 6 du simulateur);Test final exigé par le verrou;Synthèse §2;16;oui;couvert
Cohérence mesure/réalité après réparation;4e_C5.2;Act. 2 (résultat du simulateur, 31 %);Lecture critique de la valeur;Synthèse §2;17;oui;couvert
Frontière TBT / secteur 230 V;4e_C5.2;Act. 2 + act. 4 (lampe du CDI);Règle énoncée;Synthèse §2;18;oui;couvert
Pièce incompatible : s'arrêter et signaler;4e_C5.2;Act. 2 (correction + pièges);Réflexe verbalisé;Synthèse §2;19;oui;couvert
« Remonté ≠ réparé » (réparé = testé);4e_C5.2;Act. 2 (à retenir);Formule restituée;Synthèse §2;20;oui;couvert
Choix multicritère d'un procédé;4e_C5.3;Act. 3a (tableau des critères);Tableau critère→procédé;Synthèse §3;21;oui;couvert
Domaine de formes d'un procédé;4e_C5.3;Act. 3a (découpe-pliage écartée);Justification par la forme;Synthèse §3;22;oui;couvert
Matériau selon l'environnement (PETG vs PLA);4e_C5.3;Act. 3a (critère tenue au jardin);Choix PETG justifié;Synthèse §3;23;oui;couvert
La gamme commence par mesurer;4e_C5.3;Act. 3a (pied à coulisse);Première opération identifiée;Synthèse §3;24;oui;couvert
Jeu fonctionnel (~0,2 mm);4e_C5.3;Act. 3b (question 10,2/10,0);Cote avec jeu retenue;Synthèse §3;25;oui;couvert
Gamme de fabrication ordonnée;4e_C5.3;Act. 3b (mini-gamme);Gamme dans l'ordre;Synthèse §3;26;oui;couvert
Ébavurage et finition;4e_C5.3;Act. 3 (correction + gamme);Rôle de la finition expliqué;Synthèse §3;27;oui;couvert
Sécurité atelier (lunettes, cheveux, adulte);4e_C5.3;Act. 3b (question dédiée);Règle complète restituée;Synthèse §3;28;oui;couvert
Fabrication à l'unité et sur mesure;4e_C5.3;Act. 3 (situation : pièce introuvable);Atout de la 3D formulé;Synthèse §3;29;oui;couvert
Réparer plutôt que jeter (EDD);4e_C5.3;Act. 4 + bilan;Bénéfice double verbalisé;Synthèse §3;30;oui;couvert
