notion;competence;activite_enseignement;production_demandee;synthese;questions_qcm;correction_disponible;statut_couverture
Définition du terminal;5e_C4.7;Act. 2 (les 4 mots) + Act. 1 (rôles du jeu);Association rôle du jeu → mot du réseau;Synthèse §1;1;oui;couvert
Reconnaître le commutateur sur un schéma;5e_C4.7;Act. 2 (schéma topologie SVG);Identification sur le schéma d'ensemble;Synthèse §1;2;oui;couvert
Rôle du commutateur (lire l'adresse, redistribuer);5e_C4.7;Act. 1 (facteur) + Act. 5 (enveloppe);Règle rédigée + observation du trajet;Synthèse §1 et §3;3;oui;couvert
Rôle du point d'accès (pont ondes ↔ câble);5e_C4.7;Act. 3 (étapes E-G);Question de contrôle de l'act. 3;Synthèse §1;4;oui;couvert
Liaison filaire vs sans fil (conventions trait plein / pointillés);5e_C4.7;Act. 2 + Act. 3 (relevé n°4);Identification + comptage des liaisons pointillées;Synthèse §1;5;oui;couvert
Compter les terminaux d'un réseau;5e_C4.7;Act. 2 (comptage sur schéma);Comptage justifié (5 terminaux);Synthèse §1;6;oui;couvert
Concevoir SON schéma de réseau — recette guidée (règle n°22);5e_C4.7;Act. 2 (étape 🖊 conception, 4 questions-recette);Schéma dessiné au cahier + description enregistrée;Synthèse §1;6, 7;oui;couvert
Topologie en étoile (définition);5e_C4.7;Act. 2 (conception puis lecture);Identification de la forme sur SON schéma puis sur la référence;Synthèse §1;7;oui;couvert
Avantage de l'étoile (panne d'une branche);5e_C4.7;Act. 2 (correction) + Act. 5;Discussion guidée;Synthèse §1;8;oui;couvert
Le smartphone est un terminal;5e_C4.7;Act. 2 + Act. 3 (étape G);Ajout du smartphone au montage;Synthèse §1;9;oui;couvert
L'imprimante est un terminal (réception);5e_C4.7;Act. 2 + situation déclenchante;Lecture du schéma;Synthèse §1;10;oui;couvert
Choisir le câble droit (Copper Straight-Through);5e_C4.7;Act. 3 (étape D);Câblage réel dans Packet Tracer;Synthèse §4;11;oui;couvert
La prise réseau du PC (FastEthernet0);5e_C4.7;Act. 3 (étape D, menu des prises);Choix de la prise dans le menu réel;Synthèse §4;12;oui;couvert
Les 24 prises du commutateur 2960;5e_C4.7;Act. 3 (relevé n°1 🔎);Relevé fait dans le logiciel;Synthèse §4;13;oui;couvert
Code couleur des triangles (orange/vert/rouge);5e_C4.7;Act. 3 (relevé n°2 🔎);Relevé fait dans le logiciel;Synthèse §4;14;oui;couvert
Le SSID (nom du réseau WiFi);5e_C4.7;Act. 3 (étape E, TECHNO-C4);Configuration du point d'accès;Synthèse §1 et §4;15;oui;couvert
Changer le module WiFi (éteindre → échanger → rallumer);5e_C4.7;Act. 3 (étape F);Manipulation guidée + relevé n°3 🔎 (signal);Synthèse §4;16;oui;couvert
Un message doit porter son destinataire;5e_C4.8;Act. 1 (manche 3 : enveloppe sans nom);Constat de jeu + règle rédigée;Synthèse §2;17;oui;couvert
Le doublon rend la livraison non fiable (débranché);5e_C4.8;Act. 1 (manche 2 : deux « Maël »);Constat de jeu + schéma du facteur;Synthèse §2;18;oui;couvert
Structure de l'adresse IP (rue commune + numéro unique);5e_C4.8;Act. 4 (analogie de la rue);Lecture guidée de l'adresse;Synthèse §2;19;oui;couvert
Choisir une adresse valide (même rue, numéro libre);5e_C4.8;Act. 4 (table d'adressage .10→.50);Adressage des 5 terminaux du montage;Synthèse §2;20;oui;couvert
Où saisir l'adresse (Desktop → IP Configuration → Static);5e_C4.8;Act. 4 (fenêtre reconstituée);Saisie réelle dans Packet Tracer;Synthèse §2;21;oui;couvert
Interdiction du doublon d'adresse (version réseau);5e_C4.8;Act. 5 (panne interdite + mini-simulateur);Expérience tracée (verrou __exp);Synthèse §2;22;oui;couvert
Un appareil éteint garde son adresse;5e_C4.8;Act. 4 (aide niveau 2) + Act. 5;Discussion guidée;Synthèse §2 et pièges;23;oui;couvert
Lire la fenêtre IP Configuration;5e_C4.8;Act. 4 (figure fidèle au logiciel);Lecture des champs adresse/masque/interface;Synthèse §2;24;oui;couvert
La case Subnet Mask (on n'y touche pas en 5e);5e_C4.8;Act. 4 (encadré garde-fou);Lecture guidée;Synthèse §2 et pièges;25;oui;couvert
Le ping : test de livraison;5e_C4.8;Act. 5 (preuve ①);Ping réel vers PC1 et vers le smartphone;Synthèse §3;26;oui;couvert
Interpréter Reply from / Request timed out;5e_C4.8;Act. 5 (lecture du terminal);Relevé des réponses;Synthèse §3;27;oui;couvert
Le trajet de l'enveloppe (Event List);5e_C4.8;Act. 5 (preuve ② mode Simulation + mini-simulateur);Observation pas à pas tracée;Synthèse §3;28;oui;couvert
Comparer filaire et WiFi (temps de réponse);5e_C4.8;Act. 5 (mesures réelles reportées);Comparaison chiffrée;Synthèse §3;29;oui;couvert
La démarche complète : débranché puis simulation;5e_C4.8;Act. 1 + Act. 5 (structure de la séquence);Bilan et auto-positionnement;Synthèse entière;30;oui;couvert
