notion;competence;activite_enseignement;production_demandee;synthese;questions_qcm;correction_disponible;statut_couverture
Prérequis de 5e : cahier des charges, cycle de vie, filtre;4e_C3.1;Billet d'entrée (5 min, sans note) + capsule;3 réponses + aiguillage;Synthèse §1;-;oui;couvert
Une caractéristique = grandeur + unité + seuil;4e_C3.1;Act. 1 a (~30 min) + figure;4 exigences chiffrées;Synthèse §1;1 et 7;oui;couvert
Ce qui change entre la 5e et la 4e;4e_C3.1;Situation déclenchante + act. 1;Prise de conscience explicite;Synthèse §1;2;oui;couvert
« Pas cher » = coût rapporté à la durée de vie;4e_C3.1;Act. 1 a;Exigence de coût annuel;Synthèse §1;3;oui;couvert
Un mot du besoin peut cacher deux critères;4e_C3.1;Act. 1 a;Deux exigences pour « réparable »;Synthèse §1;4;oui;couvert
Proposer un critère non demandé, et le justifier;4e_C3.1;Act. 1 b;Argument écrit;Synthèse §1;5;oui;couvert
Distinguer l'indispensable du souhaitable;4e_C3.1;Act. 1 b + act. 4;Cahier hiérarchisé;Synthèse §1 et §4;6;oui;couvert
Le rôle du seuil dans la décision;4e_C3.1;Act. 1 c (version étayée);Seuils chiffrés;Synthèse §1;7;oui;couvert
Une exigence ne se compense pas;4e_C3.1;Act. 4 a;Filtrage;Synthèse §4;8;oui;couvert
D'une donnée observée à une exigence;4e_C3.1;Act. 1 (relevé de pannes);Exigence dérivée du relevé;Synthèse §1;9;oui;couvert
Le cahier des charges dit le quoi, pas le comment;4e_C3.1;Act. 1 + correction;Formulation sans solution imposée;Synthèse §1;10;oui;couvert
Une exigence se vérifie de la même façon par tous;4e_C3.1;Act. 1 c + act. 3;Formulation reproductible;Synthèse §1 et §3;11;oui;couvert
Rapporter une incidence au service rendu;4e_C3.2;Act. 2 b (~35 min);Calcul en g/km au tableur;Synthèse §2;12 et 13;oui;couvert
Le classement se déplace selon la base retenue;4e_C3.2;Act. 2 a et b;Comparaison des deux classements;Synthèse §2;14 et 21;oui;couvert
Émettre beaucoup et durer peu : le cumul;4e_C3.2;Act. 2 b;Analyse du cas F3;Synthèse §2;15;oui;couvert
Une donnée qualitative peut être décisive;4e_C3.2;Act. 2 c;Analyse du cadre irréparable;Synthèse §2;16;oui;couvert
Un bilan carbone est un ordre de grandeur;4e_C3.2;Act. 2 (encadré honnêteté);Formulation prudente;Synthèse §2 et §6;17;oui;couvert
La matière recyclée agit à l'extraction;4e_C3.2;Act. 2 a;Association donnée-étape;Synthèse §2;18;oui;couvert
Comparer suppose une base commune;4e_C3.2;Act. 2 b + correction;Vérification des unités;Synthèse §2;19;oui;couvert
Les trois piliers du développement durable;4e_C3.2;Act. 2 c + act. 5;Argumentation à trois entrées;Synthèse §2 et §5;20;oui;couvert
La grandeur commande l'appareil;4e_C3.3;Act. 3 a (~30 min) + figure;Associations correctes;Synthèse §3;22;oui;couvert
Force → newton → dynamomètre;4e_C3.3;Act. 3 a;Association;Synthèse §3;23;oui;couvert
Durée → minute → chronomètre;4e_C3.3;Act. 3 a;Association;Synthèse §3;24;oui;couvert
La précision de l'appareil borne la comparaison;4e_C3.3;Act. 3 b;Analyse de deux écarts;Synthèse §3;25;oui;couvert
Répéter ne remplace pas la résolution;4e_C3.3;Act. 3 b + correction;Explication écrite;Synthèse §3;26;oui;couvert
Une mesure s'écrit avec son unité;4e_C3.3;Act. 3 + act. 2;Tableaux unités renseignées;Synthèse §3;27;oui;couvert
Transformer une qualité en grandeur mesurable;4e_C3.3;Act. 3 a (question « solidité »);Définition proposée;Synthèse §3;28;oui;couvert
Mêmes conditions, même appareil, pour tous;4e_C3.3;Act. 3 c (version étayée);Protocole rédigé;Synthèse §3;29;oui;couvert
Un protocole se juge à sa reproductibilité;4e_C3.3;Act. 3 c;Protocole en 3-4 étapes;Synthèse §3;30;oui;couvert
Filtrer puis départager;4e_C3.2;Act. 4 (~25 min);Deux flottes retenues, motifs d'écart;Synthèse §4;-;oui;couvert
Assumer une limite dans une recommandation;4e_C3.2;Act. 5 (~20 min, version étayée);Note au service technique;Synthèse §5;-;oui;couvert
Transposer, c'est refaire l'analyse;4e_C3.2;Act. 5 + bonus;Adaptation martiniquaise;Synthèse §5;-;oui;couvert
