notion;code;où c'est travaillé;production de l'élève;section de synthèse;question du QCM;statut
Bon ou mauvais matériau;5e_C7.3;Act. 1;évaluation au banc;Un matériau n'est ni bon ni mauvais;q1;couvert
Rôle de la masse volumique;5e_C7.3;Act. 0;1 association;Chaque caractéristique répond à une question;q2;couvert
Ce que mesure la résistance;5e_C7.3;Act. 0;1 association;Chaque caractéristique répond à une question;q3;couvert
Tenue au soleil sous les tropiques;5e_C7.3;Act. 0 et 2;1 association + 1 retrait;Le climat fait partie du cahier des charges;q4;couvert
Brouillard salin;5e_C7.3;Encadré climat;lecture;Le climat fait partie du cahier des charges;q5;couvert
Seuil de température d'usage;5e_C7.3;Act. 2;1 retrait + 1 réponse;Retirer une exigence fait entrer quelqu'un;q6;couvert
Prix au kilogramme et prix de la pièce;5e_C7.3;Act. 0;1 association + correction;Un prix au kilo n'est pas un prix;q7;couvert
Un seuil n'est pas une note;5e_C7.3;Act. 1;4 associations + 1 réponse;Un seuil n'est pas une note;q8;couvert
Retirer une exigence;5e_C7.3;Act. 2;5 relevés au banc;Retirer une exigence fait entrer quelqu'un;q9;couvert
Une entrée qui ne fait rien baisser;5e_C7.3;Act. 2;2 relevés + 1 réponse;Retirer une exigence fait entrer quelqu'un;q10;couvert
Moins cher à l'achat;5e_C7.3;Act. 2;2 relevés + 1 réponse;Le moins cher à l'achat n'est pas le moins cher;q11;couvert
Climat au cahier des charges;5e_C7.3;Encadré climat;lecture;Le climat fait partie du cahier des charges;q12;couvert
Départager les derniers;5e_C7.3;Act. 3;1 réponse;Quand plusieurs passent, on ajoute un critère;q13;couvert
Coût sur seize ans;5e_C7.3;Act. 3;1 réponse chiffrée;Le moins cher à l'achat n'est pas le moins cher;q14;couvert
Provenance non mesurée;5e_C7.3;Act. 3;justification écrite;Quand plusieurs passent, on ajoute un critère;q15;couvert
Masse maximale et usage;5e_C7.3;REFAIRE;texte de réinvestissement;Chaque caractéristique répond à une question;q16;couvert
Cahier des charges assoupli après coup;5e_C7.3;Bonus;essai au banc + une phrase;Un seuil n'est pas une note;q17;couvert
Ordre des opérations;5e_C7.3;Act. 1;évaluation au banc;Un matériau n'est ni bon ni mauvais;q18;couvert
Deux bois qui ne se valent pas;5e_C7.3;Act. 1;1 association;Chaque caractéristique répond à une question;q19;couvert
Revers du traitement;5e_C7.3;Synthèse;lecture;Le moins cher à l'achat n'est pas le moins cher;q20;couvert
Reconnaître et choisir;5e_C4.4;Tête de séquence;lecture;Reconnaître un matériau, et le choisir;q21;couvert
Familles de matériaux;5e_C4.4;Act. 0;lecture du tableau;Les familles de matériaux;q22;couvert
Le béton est un composite;5e_C4.4;Act. 1;évaluation au banc;Les familles de matériaux;q23;couvert
Plusieurs matériaux dans un objet;5e_C4.4;REFAIRE;texte de réinvestissement;Reconnaître un matériau, et le choisir;q24;couvert
Les métaux ferreux et la rouille;5e_C4.4;Encadré climat;lecture;Le climat fait partie du cahier des charges;q25;couvert
Reconnaître par la masse;5e_C4.4;Act. 0;1 association;Les familles de matériaux;q26;couvert
Identifier pour recycler;5e_C4.4;Synthèse;lecture;Les familles de matériaux;q27;couvert
Matériau et fonction de la pièce;5e_C4.4;REFAIRE;texte de réinvestissement;Reconnaître un matériau, et le choisir;q28;couvert
Aspect et nature;5e_C4.4;Version 🅰;échantillons en main;Les familles de matériaux;q29;couvert
Matériaux et environnement de l'objet;5e_C4.4;Déclencheur;lecture;Reconnaître un matériau, et le choisir;q30;couvert
