notion;competence;activite_enseignement;production_demandee;synthese;questions_qcm;correction_disponible;statut_couverture
Lire un motif anormal dans les relevés (battement);4e_C6.1;Act. 1a (courbe annotée);Anomalie n°1 nommée;Synthèse §1;1;oui;couvert
Analyser = observé vs attendu;4e_C6.1;Act. 1 (démarche);Comparaison verbalisée;Synthèse §1;2;oui;couvert
Préserver le comportement normal (référence);4e_C6.1;Act. 1a (jeudi 22 h);Cas normal identifié;Synthèse §1;3;oui;couvert
Cause du battement : seuil unique + mesure qui vibre;4e_C6.1;Act. 1b;Cause logicielle désignée;Synthèse §1;4;oui;couvert
Hystérésis : zone où l'état se conserve;4e_C6.1;Act. 2 (schéma 2 seuils);Ligne 3 de l'algorithme;Synthèse §1;5;oui;couvert
Régler l'écart des seuils (> vibration);4e_C6.1;Act. 2 (aide niveau 2);Choix 35/45 justifié;Synthèse §1;6;oui;couvert
Règle manquante (aucune condition horaire);4e_C6.1;Act. 1b (arrosage 13 h);Cause n°2 désignée;Synthèse §1;7;oui;couvert
Plage horaire = ET sur le démarrage seulement;4e_C6.1;Act. 2 (lignes 1-2);Placement justifié;Synthèse §1;8;oui;couvert
Arbitrage sécheresse/heure (30 % à 13 h);4e_C6.1;Act. 2 (question dédiée);Comportement prédit;Synthèse §1;9;oui;couvert
Tendance vs valeur isolée;4e_C6.1;Act. 1 (pièges);Distinction verbalisée;Synthèse §1;10;oui;couvert
Coût matériel du battement (usure);4e_C6.1;Act. 1 (correction);Conséquence expliquée;Synthèse §1;11;oui;couvert
Une anomalie → une modification ciblée;4e_C6.1;Act. 2 (démarche);Deux modifications tracées;Synthèse §1;12;oui;couvert
Ligne de démarrage (ET complet);4e_C6.1;Act. 2 (ligne 1);Ligne choisie;Synthèse §1;13;oui;couvert
Ligne d'arrêt (humidité seule);4e_C6.1;Act. 2 (ligne 2);Ligne choisie;Synthèse §1;14;oui;couvert
Les relevés, mémoire complète du système;4e_C6.1;Act. 1 (situation);Rôle des exports verbalisé;Synthèse §1;15;oui;couvert
La méthode de validation en 5 étapes;4e_C6.3;Act. 3 (image méthode);Méthode restituée;Synthèse §2;16;oui;couvert
Sauvegarder avant de modifier;4e_C6.3;Act. 3c (question);Justification écrite;Synthèse §2;17;oui;couvert
Simuler avant le réel;4e_C6.3;Act. 3 (banc de test);Rôle de la simulation;Synthèse §2;18;oui;couvert
Scénario de l'hystérésis (38 %, pompe ON);4e_C6.3;Act. 3b (scénario 2);Verdict RESTE ON;Synthèse §2;19;oui;couvert
Scénario de la plage horaire (33 % à 13 h);4e_C6.3;Act. 3b (scénario 4);Verdict RESTE OFF;Synthèse §2;20;oui;couvert
Couverture : un scénario par règle;4e_C6.3;Act. 3a (verrou 4/4);4 scénarios joués;Synthèse §2;21;oui;couvert
Verdict du scénario d'arrêt (46 %);4e_C6.3;Act. 3b (scénario 3);Verdict S'ARRÊTE;Synthèse §2;22;oui;couvert
Réel limité : le plant témoin;4e_C6.3;Act. 3 (méthode étape 4);Périmètre justifié;Synthèse §2;23;oui;couvert
Non-régression;4e_C6.3;Act. 3c (question);Définition restituée;Synthèse §2;24;oui;couvert
Échec d'un scénario : corriger et TOUT rejouer;4e_C6.3;Act. 3 (pièges + correction);Réflexe verbalisé;Synthèse §2;25;oui;couvert
L'illusion du premier essai réussi;4e_C6.3;Act. 3 (pièges);Contre-argument formulé;Synthèse §2;26;oui;couvert
Validation finale par les relevés réels;4e_C6.3;Act. 3 (correction) + bilan;Critère de clôture;Synthèse §2;27;oui;couvert
Retour arrière (rollback);4e_C6.3;Act. 3 (correction);Usage de la sauvegarde;Synthèse §2;28;oui;couvert
Scénarios d'hystérésis transférés (19/30/41 lux);4e_C6.3;Act. 4 (lampadaire);Scénarios transposés;Synthèse §2;29;oui;couvert
« Trop petite pour la méthode » : le piège n°1;4e_C6.3;Act. 4 + pièges;Règle d'enjeu restituée;Synthèse §2;30;oui;couvert
