notion;competence;activite_enseignement;production_demandee;synthese;questions_qcm;correction_disponible;statut_couverture
Concevoir SON plan d'adressage — recette 4 étapes (règle n°22);4e_C4.7;Act. 1 (conception AVANT la référence);Plan rédigé (≥25 car., rue 192.168.20) + revue croisée;Synthèse §1;7;oui;couvert
Recenser les habitants (le commutateur sans numéro);4e_C4.7;Act. 1 étape 1;Choix justifié dans la recette;Synthèse §1;7;oui;couvert
La rue commune (préfixe 192.168.20);4e_C4.7;Act. 1 étape 2 + lecture du plan;Lecture d'adresse rue/maison;Synthèse §1;3;oui;couvert
Numéro unique + .1 réservé à la passerelle;4e_C4.7;Act. 1 étape 3 + plan de référence;Choix + justification du .1;Synthèse §1;5;oui;couvert
Le masque 255.255.255.0 (lecture);4e_C4.7;Act. 1 étape 4 + plan;Lecture du panneau du quartier;Synthèse §1;4 et 9;oui;couvert
Adresse valable (rue + unicité + .1);4e_C4.7;Act. 1 (lecture du plan);Choix d'une 5e adresse valable;Synthèse §1;8;oui;couvert
Fixe (Static) vs automatique (DHCP);4e_C4.7;Act. 3 (préambule);Justification du choix Static;Synthèse §2;1;oui;couvert
La fenêtre IP Configuration (chemin et 4 lignes);4e_C4.7;Act. 3 recette d'adressage;Paramétrage des 4 terminaux;Synthèse §2;2;oui;couvert
La ligne Default Gateway (192.168.20.1);4e_C4.7;Act. 3 étape 5 (figure dédiée);Saisie passerelle sur les 4 terminaux;Synthèse §2;6;oui;couvert
Preuve du paramétrage par le ping;4e_C4.7;Act. 3 (transcriptions réelles);Deux pings relevés;Synthèse §2;10;oui;couvert
Montage du banc d'essai (recette A→G);4e_C4.8;Act. 2;Fichier serre_4X_NOM_Prenom.pkt câblé vert;Synthèse §1;—;oui;couvert
Réseau d'entraînement déconnecté (pourquoi);4e_C4.8;Act. 2 + versions A/B/C;Relevé e2_3 + choix raisonné;Synthèse §4;9;oui;couvert
Câblé ≠ adressé;4e_C4.8;Act. 2 relevé final;Relevé e2_5;Synthèse §1;—;oui;couvert
La boucle du dépanneur (symptôme→hypothèse→test→remède→re-test);4e_C4.8;Act. 4 (figure boucle);Diagnostic complet en 4 choix + rédaction;Synthèse §4;1 et 7;oui;couvert
Lire un symptôme (Request timed out, 100% loss);4e_C4.8;Act. 4 (transcription réelle);Relevé e4_1;Synthèse §4;2;oui;couvert
La panne « mauvaise rue » (192.168.21.50);4e_C4.8;Act. 4 (cas réel + clinique);Deux consultations jouées (verrou __exp) + diagnostic rédigé;Synthèse §4;3;oui;couvert
Choisir le test le moins invasif;4e_C4.8;Act. 4 (étape TEST);Relevé e4_3;Synthèse §4;4;oui;couvert
