notion;competence;activite_enseignement;production_demandee;synthese;questions_qcm;correction_disponible;statut_couverture
Prérequis : matériau, source d'énergie, capteur;5e_C3.1;Billet d'entrée (5 min, sans note) + capsule;3 réponses + aiguillage;Synthèse §1;-;oui;couvert
Un matériau se choisit pour ses propriétés;5e_C3.1;Act. 1 a (~25 min);Justification du choix de l'aluminium;Synthèse §1;1 et 5;oui;couvert
Plusieurs matériaux dans un même objet;5e_C3.1;Act. 1 a;Explication du rôle des polymères;Synthèse §1;5;oui;couvert
Source d'énergie et forme d'énergie;5e_C3.1;Act. 1 b;Identification pour les trois solutions;Synthèse §1;2;oui;couvert
La masse commande la consommation;5e_C3.1;Act. 1 b + act. 3;Comparaison chiffrée;Synthèse §1 et §3;3;oui;couvert
Capteur, actionneur, calculateur;5e_C3.1;Act. 1 c + capsule;Classement argumenté;Synthèse §1;4;oui;couvert
Le traitement de l'information croît avec l'autonomie;5e_C3.1;Act. 1 c;Classement des trois solutions;Synthèse §1;6;oui;couvert
Automatisé n'est pas autonome;5e_C3.1;Act. 1 c + correction;Explication de la supervision;Synthèse §1;7;oui;couvert
Lire une planche comparative;5e_C3.1;Act. 1 (figure);Repérage du point commun;Synthèse §1;8;oui;couvert
Les cinq étapes du cycle de vie;5e_C3.2;Act. 2 (~30 min) + figure;Étapes nommées dans l'ordre;Synthèse §2;9;oui;couvert
L'utilisation domine sur un objet qui dure;5e_C3.2;Act. 2 b;Justification par la durée;Synthèse §2;10;oui;couvert
La matière recyclée agit à l'extraction;5e_C3.2;Act. 2 a;Association donnée-étape;Synthèse §2;11;oui;couvert
La réparabilité repousse la fin de vie;5e_C3.2;Act. 2 a;Association donnée-étape;Synthèse §2;12;oui;couvert
« Zéro émission » ne vaut que pour l'usage;5e_C3.2;Act. 2 c;Analyse critique de l'affirmation;Synthèse §2 et §6;13;oui;couvert
Une grandeur peut peser sur plusieurs étapes;5e_C3.2;Act. 2 + correction;Justification écrite (version étayée);Synthèse §2;14;oui;couvert
L'essentiel se décide à la conception;5e_C3.2;Act. 2 correction;Argument écrit;Synthèse §2;15;oui;couvert
À quoi sert un protocole de mesure;5e_C3.4;Act. 3 a (~35 min) + figure;Explication des trois conditions;Synthèse §3;16;oui;couvert
Répéter les essais et moyenner;5e_C3.4;Act. 3 a;Justification des trois essais;Synthèse §3;17;oui;couvert
Une seule variable change à la fois;5e_C3.4;Act. 3 a;Analyse d'une comparaison invalide;Synthèse §3 et §6;18;oui;couvert
Une correspondance entre deux colonnes n'est pas une explication;5e_C3.4;Act. 3 b;Lecture du tableau et explication;Synthèse §3;19;oui;couvert
La mesure décisive dépend du besoin;5e_C3.4;Act. 3 b;Choix argumenté de la mesure;Synthèse §3;20;oui;couvert
Ce qu'une mesure ne prouve pas;5e_C3.4;Act. 3 c (version étayée);Conclusion écrite;Synthèse §3 et §6;21;oui;couvert
Lire une unité, c'est lire une grandeur;5e_C3.4;Act. 3 b + act. 4;Comparaison à unité identique;Synthèse §3;22;oui;couvert
Écrire un cahier des charges avant de choisir;5e_C3.3;Act. 4 (~30 min);Exigences listées;Synthèse §4;23;oui;couvert
Une exigence ne se moyenne pas;5e_C3.3;Act. 4 a;Filtrage au tableur;Synthèse §4;24;oui;couvert
Filtrer et identifier qui passe;5e_C3.3;Act. 4 a;Solutions écartées et motif;Synthèse §4;25;oui;couvert
Le cas limite qui tombe sur le seuil;5e_C3.3;Act. 4 a + correction;Vérification du seuil;Synthèse §4 et §6;25;oui;couvert
Une formule montre le raisonnement (CRCN 1.3);5e_C3.3;Act. 4 b (tableur);Colonne calculée, tri, filtre;Synthèse §4;26;oui;couvert
Un indicateur est un choix, pas une mesure;5e_C3.3;Act. 4 b;Analyse critique;Synthèse §4;27;oui;couvert
Une solution est bonne POUR un besoin;5e_C3.3;Act. 5 (~20 min);Retournement du besoin;Synthèse §5;28;oui;couvert
Assumer la limite de son choix;5e_C3.3;Act. 5 (version étayée);Recommandation écrite;Synthèse §5;29;oui;couvert
Transposer, c'est refaire l'analyse;5e_C3.3;Act. 5 + bonus;Adaptation martiniquaise;Synthèse §5;30;oui;couvert
