notion;competence;activite_enseignement;production_demandee;synthese;questions_qcm;correction_disponible;statut_couverture
Symptôme vs hypothèse;3e_C5.1;Act. 1 (séance 1);4 déductions;Synthèse §1;1,2;oui;couvert
Formuler et classer des hypothèses (simple/rapide/probable);3e_C5.1;Act. 1;Classement 1-2-3;Synthèse §1;3,4,8;oui;couvert
Lire et parcourir un arbre de diagnostic;3e_C5.1;Act. 2;3 parcours;Synthèse §1;5,6;oui;couvert
Une modification à la fois;3e_C5.1;Act. 2 (justification);Rédaction;Synthèse §1;7;oui;couvert
Définition et étapes du protocole;3e_C5.2;Act. 3;Ordre 1→5;Synthèse §2;9,10,13,15,16;oui;couvert
Règle de localisation (dernier correct / premier anormal);3e_C5.2;Act. 3 (règle + exemple);Complétion + application;Synthèse §2;11,12;oui;couvert
Sécurité TBT;3e_C5.2;Act. 3 (vrai/faux) + partout;Vrai/faux;Synthèse §2;14;oui;couvert
Rédiger un protocole transférable;3e_C5.2;Act. 3d (pompe);Protocole rédigé;Synthèse §2;15;oui;couvert
Localiser par mesures ordonnées;3e_C5.3;Act. 4 (simulateur, 2 pannes);2 diagnostics justes;Synthèse §3;17,18;oui;couvert
Retest complet après réparation;3e_C5.3;Act. 4 (question 2);Sélection justifiée;Synthèse §3;19;oui;couvert
Réfutation d'hypothèse (remplacement sans effet);3e_C5.3;Act. 4 (verdict simulateur);Expérience vécue;Synthèse §3;20;oui;couvert
Fusible : rôle de protection et remplacement à l'identique;3e_C5.3;Act. 4 (panne 2 + correction);Diagnostic fusible;Synthèse §3;21,22;oui;couvert
Mesure réelle au multimètre (version A);3e_C5.3;Act. 4 (fiche version A);—;Synthèse §3;23;oui;couvert
Démarche complète de dépannage;3e_C5.3;Act. 4 + R;2 pannes résolues;Synthèse §3;24;oui;couvert
Lire un plan coté (entraxe, diamètres);3e_C5.4;Act. 5a;4 cotes relevées;Synthèse §4;25,26;oui;couvert
Choisir un procédé selon forme/quantité/délai/coût;3e_C5.4;Act. 5b;3 choix contextualisés;Synthèse §4;27,28;oui;couvert
Choisir un matériau selon l'environnement;3e_C5.4;Act. 5c;1 choix justifié;Synthèse §4;29;oui;couvert
Prototype/gabarit avant fabrication;3e_C5.4;Act. 5 (correction version C);Gabarit évoqué;Synthèse §4;30;oui;couvert
Résistance et orientation d'impression 3D;3e_C5.4;Act. 5 (comparatif);Lecture comparatif;Synthèse §4;31;oui;couvert
Réparer plutôt que jeter (économie/écologie);3e_C5.4;Situation + R (décision);Décision argumentée;Synthèse §4;32;oui;couvert
