notion;competence;activite_enseignement;production_demandee;synthese;questions_qcm;correction_disponible;statut_couverture
Donnée utilisée (capteur);5e_C6.1;Act. 1;Classement 6 données;Synthèse §1;1,5;oui;couvert
Donnée produite (décision);5e_C6.1;Act. 1;Classement;Synthèse §1;2,7;oui;couvert
Paramètres réglables;5e_C6.1;Act. 1;Classement;Synthèse §1;3;oui;couvert
Lecture fine du seuil (30, sens de la comparaison);5e_C6.1;Act. 1 (lecture);Valeur relevée;Synthèse §1;4;oui;couvert
Trois états produits;5e_C6.1;Act. 1;Réponse;Synthèse §1;6;oui;couvert
Lire avant de modifier;5e_C6.1;Act. 1 (correction);Discussion;Synthèse §1;8;oui;couvert
Boucle infinie (surveillance continue);5e_C6.1;Act. 1 + 2;Lecture + étape 6;Synthèse §1-2;9;oui;couvert
Transfert lecture (arrosage);5e_C6.1;R (act. 4);2 réponses;Synthèse §2;10;oui;couvert
But de la traduction en langage naturel;5e_C6.2;Act. 2;Algorithme recopié;Synthèse §2;11,19;oui;couvert
Ordre des étapes (mesurer d'abord);5e_C6.2;Act. 2;6 étapes ordonnées;Synthèse §2;12;oui;couvert
Mot-clé ET (deux conditions);5e_C6.2;Act. 2;Trous complétés;Synthèse §2 et pièges;13;oui;couvert
Mot-clé SINON (cas restants);5e_C6.2;Act. 2;Trous complétés;Synthèse §2;14;oui;couvert
Ordre des cas (précis avant général);5e_C6.2;Act. 2 (+aide);Ordre correct;Synthèse §2;15;oui;couvert
Traduction fidèle (logique exacte);5e_C6.2;Act. 2;Phrases choisies;Synthèse §2;16;oui;couvert
Invariance de la logique (blocs ↔ français);5e_C6.2;Act. 2 (correction);Discussion;Synthèse §2;17;oui;couvert
Traduire la boucle;5e_C6.2;Act. 2;Étape 6;Synthèse §2;18;oui;couvert
Erreur ET/OU et son effet;5e_C6.2;Act. 2 (pièges) + QCM;Analyse;Synthèse pièges;20;oui;couvert
Paramètre = comportement, pas structure;5e_C6.3;Act. 3;Prédiction q3_3;Synthèse §3;21;oui;couvert
Effet seuil ⬆ (allumage plus tôt);5e_C6.3;Act. 3 (simulateur + prédiction);q3_1 + essais;Synthèse §3;22;oui;couvert
Effet seuil ⬇ (compromis économie/service);5e_C6.3;Act. 3 (document);Lecture;Synthèse §3;23;oui;couvert
Effet durée (énergie par passage);5e_C6.3;Act. 3;q3_2;Synthèse §3;24;oui;couvert
Mission mairie (seuil > 45, strict);5e_C6.3;Act. 3 (verrou expérientiel);Mission vérifiée au simulateur;Synthèse §3 et pièges;25;oui;couvert
Prédire → modifier → vérifier;5e_C6.3;Act. 3 + R;Démarche appliquée;Synthèse §3;26;oui;couvert
Tester le réglage d'origine (témoin);5e_C6.3;Act. 3 (verrou);Essai « défaut » exigé;Synthèse §3;27;oui;couvert
Évaluer en termes de fonctionnalité;5e_C6.3;Act. 3 (correction);Discussion;Synthèse §3;28;oui;couvert
Réversibilité d'un paramètre;5e_C6.3;Act. 3 (correction);Discussion;Synthèse §3;29;oui;couvert
Transfert réglage (arrosage, sens du seuil);5e_C6.3;R (act. 4);r4_3 + r4_4;Synthèse §3;30;oui;couvert
