notion;competence;activite_enseignement;production_demandee;synthese;questions_qcm;statut_couverture
Une pièce commence par une esquisse posée sur un plan;5e_C7.6;Palier 2 (12 min);le carré de 50 mm, coté;§ Les gestes du dé;q2, q3, q5, q6;couvert
Coter, c'est interdire au trait de bouger;5e_C7.6;Palier 2 (12 min);la cote 50 posée, le carré devenu noir;§ Les gestes du dé;q7, q9;couvert
L'extrusion donne du volume à un contour fermé;5e_C7.6;Palier 3 (8 min);le cube de 50 mm;§ Les gestes du dé;q8, q30;couvert
Enlever de la matière, c'est le même outil;5e_C7.6;Paliers 4 à 6 (20 min);les vingt et un creux;§ Les gestes du dé;q10, q11;couvert
Le congé adoucit une arête, et son rayon a une limite;5e_C7.6;Palier 7 (7 min);douze arêtes adoucies;§ Les gestes du dé;q12, q13, q26;couvert
Chaque étape se ferme sur un signe visible;5e_C7.6;Paliers 1 à 9 (toute la séance);aucune : c'est la règle de conduite;§ Ce que tu dois voir;q14, q15;couvert
Une interface qui ne parle pas ta langue reste utilisable;5e_C7.6;Paliers 2 et 4 (5 min);aucune;§ Ce que tu dois voir;q4, q29;couvert
Ranger avant de commencer, retrouver après;5e_C7.6;Paliers 1 et 8 (6 min);le document nommé au nom de l'élève;§ Emporter son travail;q16, q17, q19;couvert
Exporter pour la machine : STL, en millimètres;5e_C7.6;Palier 8 (6 min);un fichier STL téléchargé;§ Emporter son travail;q18, q25;couvert
L'arbre des fonctions garde l'ordre, et le rend modifiable;5e_C7.6;Paliers 3 à 7 (relecture);une cote modifiée après coup;§ L'arbre des fonctions;q21, q22, q23;couvert
L'apparence n'est pas la forme;5e_C7.6;Palier 9 (10 min);le dé coloré;§ L'arbre des fonctions;q20;couvert
Sur un dé, deux faces opposées font sept;5e_C7.6;Paliers 5 et 6 (contrôle);les vingt et un creux justes;§ Les gestes du dé;q24;couvert
Suivre une procédure est une compétence à part entière;5e_C7.6;Tout le TP;aucune;§ Ce que la procédure ne dit pas;q1, q27, q28;couvert
