notion;competence;activite_enseignement;production_demandee;synthese;questions_qcm;correction_disponible;statut_couverture
Fonctions de la chaîne d'information (Acquérir/Traiter/Communiquer);3e_C4.3;Act. 1 et 2 (séance 1);Tableau des rôles + chaîne ordonnée;Synthèse §1;1,2,5,6,7,8;oui (activités + QCM);couvert
Chaîne d'information vs chaîne d'énergie;3e_C4.3;Act. 1 (justification panneau solaire);Justification rédigée;Synthèse §1;3;oui;couvert
Nature des signaux à chaque étape;3e_C4.3;Act. 2 (séance 1);Sélections + schéma recopié;Synthèse §1;4,6;oui;couvert
Transfert à un autre OST (montre, bouée);3e_C4.3;Réinvestissement;Chaîne de la bouée complétée;Synthèse §1;8;oui;couvert
Analogique (continu) vs numérique (paliers);3e_C4.4;Act. 3 (simulateur, séance 2);Explication rédigée (paliers/continu);Synthèse §2;13;oui;couvert
CAN : rôle et vocabulaire (ADC);3e_C4.4;Act. 3;Lectures au simulateur;Synthèse §2;9;oui;couvert
Paliers 2^n, valeur max 2^n-1;3e_C4.4;Act. 3 (calculs a-b);Calculs vérifiés;Synthèse §2;10,11;oui;couvert
Précision d'un CAN (étendue/(2^n-1));3e_C4.4;Act. 3 (calcul);Calcul vérifié;Synthèse §2;12,15;oui;couvert
Conversion N -> valeur physique;3e_C4.4;Act. 3 + Réinvestissement (8 bits);2 conversions calculées;Synthèse §2;14,16;oui;couvert
Types de données (entier, décimal, texte, booléen, date);3e_C4.5;Act. 4 (séance 3);6 typages;Synthèse §3;17,18,24;oui;couvert
Descripteurs de données;3e_C4.5;Act. 4;Choix justifié du descripteur;Synthèse §3;19;oui;couvert
Enregistrement / table structurée;3e_C4.5;Act. 4 et 6;Ligne d'enregistrement + lecture de table;Synthèse §3;20;oui;couvert
Codage binaire, 2^n combinaisons, dimensionnement;3e_C4.5;Act. 4 (vigilance 3 bits);Codage 011 + calcul 4 bits;Synthèse §3;21,22,23;oui;couvert
Mise en forme : format selon la nature;3e_C4.6;Act. 5 (séance 4);5 associations de formats;Synthèse §4;25,26,30,31,32;oui;couvert
Transmission = copie;3e_C4.6;Act. 5 (vrai/faux);Vrai/faux justifié;Synthèse §4;27;oui;couvert
Stockage et redondance;3e_C4.6;Act. 5 et 6 + Réinvestissement d);Justification redondance;Synthèse §4;28;oui;couvert
Parcours de la donnée (station->passerelle->serveur->terminaux);3e_C4.6;Act. 6 (schéma SVG + table);Enquête chiffrée (4 réponses);Synthèse §4;29;oui;couvert
Exploitation d'un fichier de mesures (MIN/MAX/durées);3e_C4.6;Act. 6 (CSV/ODS/XLSX);4 réponses chiffrées + conclusion;Synthèse §4;25;oui;couvert
