notion;competence;activite_enseignement;production_demandee;synthese;questions_qcm;correction_disponible;statut_couverture
Prérequis : interacteur, choix de conception, moyenne;4e_C2.1;Billet d'entrée (5 min, sans note);3 réponses + aiguillage vers la capsule;Synthèse §1;-;oui;couvert
Le trajet imposé : du langage naturel aux schémas, graphiques, algorithmes;4e_C2.1;Carte du référentiel + figure de l'act. 1;Aucune — repère de cadrage;Synthèse §1;1;oui;couvert
Partir des mots exacts, sans reformuler;4e_C2.1;Act. 1 a (~40 min);Relevé des verbatims;Synthèse §2;2;oui;couvert
Deux usagers peuvent se contredire : c'est un résultat;4e_C2.1;Act. 1 a + aide de niveau 2;Les deux ressentis écrits pour « choisir »;Synthèse §2;3;oui;couvert
Le ressenti dépend de l'information autant que de la durée;4e_C2.1;Act. 1 a (verbatim de Feng);Ressenti nommé pour « déverrouiller »;Synthèse §2;4;oui;couvert
La facilité d'usage dépend de la personne;4e_C2.1;Act. 1 a (verbatim de Xu);Ressenti nommé pour « identifier »;Synthèse §2;5;oui;couvert
Le schéma donne une adresse commune aux témoignages;4e_C2.1;Act. 1 b;Parcours en cinq étapes nommées;Synthèse §3;6 et 7;oui;couvert
Chaque représentation appelle la suivante par ce qui lui manque;4e_C2.1;Act. 1 (figure) + corrections;Aucune — repère de méthode;Synthèse §1;7 et 15;oui;couvert
Tracer le pire cas à côté de la moyenne;4e_C2.1;Act. 2 (~35 min);Graphique à deux barres par étape;Synthèse §3;8;oui;couvert
Lire un graphique de durées;4e_C2.1;Act. 2 + corrigé graphique;Dix valeurs relevées;Synthèse §3;9;oui;couvert
Une moyenne cache sa queue : 9 reprises sur 30;4e_C2.1;Act. 2 (colonne reprise_necessaire);Deux phrases de lecture;Synthèse §3;10;oui;couvert
Un ressenti n'est pas une mesure;4e_C2.1;Act. 2 + bilan;Phrase « ce que le graphique ne montre pas »;Synthèse §3;11;oui;couvert
L'algorithme rend les échecs visibles;4e_C2.1;Act. 3 (~25 min);Algorigramme du déverrouillage;Synthèse §4;12;oui;couvert
Les formes de l'algorigramme : ovale, rectangle, losange;4e_C2.1;Act. 3 (rappel des formes);Algorigramme conforme;Synthèse §4;13;oui;couvert
Un test a deux sorties — une reprise a une sortie d'échec;4e_C2.1;Act. 3 + aide de niveau 2;Sortie d'échec présente;Synthèse §4;14;oui;couvert
Les six familles d'exigences du programme;4e_C2.2;Act. 4 (~35 min) + figure;Famille nommée pour chaque exigence;Synthèse §5;16;oui;couvert
Ce qu'est une exigence : attendue, vérifiable, rattachée;4e_C2.2;Act. 4 + aide de niveau 2;Quatre exigences complètes;Synthèse §6;17;oui;couvert
Exigence ou solution : ne pas décider avant de chercher;4e_C2.2;Act. 4 (piège classique) + corrigé;Aucune solution déguisée;Synthèse §6;18;oui;couvert
La fiabilité se chiffre;4e_C2.2;Act. 4 (a4_2);Exigence chiffrée;Synthèse §5 et §6;19;oui;couvert
La qualité : faire ce qu'on annonce, et informer;4e_C2.2;Act. 4 (a4_1);Exigence d'affichage;Synthèse §5;20;oui;couvert
L'ergonomie part d'un corps réel;4e_C2.2;Act. 4 (a4_3);Exigence rattachée à Deng;Synthèse §5;21;oui;couvert
Les incidences environnementales : matière, énergie, durée de vie;4e_C2.2;Act. 4 (a4_4);Exigence d'énergie;Synthèse §5;22;oui;couvert
Formes et fonctions : la forme sert la fonction;4e_C2.2;Act. 4 + corrigé;Exigence de lisibilité;Synthèse §5;23;oui;couvert
La sécurité : quelqu'un peut-il se blesser ?;4e_C2.2;Act. 4 + figure;Classement correct;Synthèse §5;24;oui;couvert
Une exigence peut relever de deux familles;4e_C2.2;Act. 4 + corrigé;Famille dominante annoncée;Synthèse §5;25;oui;couvert
Rattacher chaque exigence à une attente d'utilisateur;4e_C2.2;Act. 4 c (verbatims cités);Code de verbatim par exigence;Synthèse §6;26;oui;couvert
Certaines exigences ne viennent d'aucune plainte;4e_C2.2;Act. 4 (corrigé, cinquième exigence);Aucune — ouverture;Synthèse §6;27;oui;couvert
La donnée la plus grosse n'est pas toujours le problème;4e_C2.2;Act. 4 (corrigé, dernier paragraphe);Aucune — conclusion de séquence;Synthèse §7;28;oui;couvert
Hiérarchiser en croisant les mots et les mesures;4e_C2.2;Act. 4 + bilan;Choix des quatre exigences;Synthèse §6;29;oui;couvert
Un seuil écrit est un seuil à vérifier;4e_C2.2;Act. 4 (aide de niveau 2);Exigences chiffrées;Synthèse §6;30;oui;couvert
Transfert : décrire un objet du collège de bout en bout;4e_C2.1 et 4e_C2.2;Bonus (3 défis) + corrigé entièrement traité;Verbatims, chronométrages, exigence;Synthèse §1 à §6;-;oui;couvert
