notion;competence;activite_enseignement;production_demandee;synthese;questions_qcm;statut_couverture
Le verbe du code : proposer, et non appliquer;3e_C8.2;Act. 1 et 2 (60 min);protocole rédigé en 6 lignes;§ Le protocole que j'ai proposé;q1, q19;couvert
Choisir la sollicitation : flexion, traction, compression;3e_C8.2;Act. 0 et 2 (50 min);3 mâts cassés + 2 décisions;§ Les sept mots;q2, q3;couvert (verrou flex3)
Le lieu de la rupture : l'encastrement et le bras de levier;3e_C8.2;Act. 0 (15 min);1 réponse après essai;§ Les sept mots;q4;couvert (verrou flex3)
La forme compte autant que la matière en flexion;3e_C8.2;Act. 1 (25 min);1 réponse + 1 phrase;§ Le résultat qui fait toute la séquence;q5, q14;couvert
La flèche : un déplacement sous une charge annoncée;3e_C8.2;Act. 2 et 3 (65 min);1 décision + 5 relevés de flèche;§ Les sept mots;q6;couvert (verrou flex5)
La charge d'essai commune et son choix;3e_C8.2;Act. 2 (35 min);1 décision chiffrée;§ Le protocole que j'ai proposé;q7, q8, q17;couvert
Le coefficient de sécurité et la charge exigée;3e_C8.2;Act. 2 (35 min);1 calcul;§ Les sept mots;q9, q10;couvert
Deux critères ne font pas un critère;3e_C8.2;Act. 5 (20 min);2 réponses;§ Deux critères ne font pas un critère;q11;couvert
La règle de décision s'écrit avant les mesures;3e_C8.2;Act. 2 (35 min);1 décision;§ Le protocole que j'ai proposé;q12;couvert
Verrouiller ce qu'on ne compare pas;3e_C8.2;Act. 2 (35 min);1 décision;§ Le protocole que j'ai proposé;q13, q30;couvert
Le profilé neuf à chaque essai;3e_C8.2;Act. 3 (30 min);5 remises à neuf au banc;§ Le protocole que j'ai proposé;q15;couvert (verrou flex5)
L'incertitude de mesure : trancher à 1 mm près;3e_C8.2;Act. 5 (20 min);1 réponse + avis rédigé;§ Deux critères ne font pas un critère;q16;couvert
Ce qu'un essai unique ne dit pas : fatigue, sel, soleil;3e_C8.2;Act. 4 (20 min);5 associations;§ Ce que mon essai n'a pas mesuré;q18;couvert
Changer les seuils sans changer de méthode;3e_C8.2;REFAIRE (15 min);4 lignes;§ Je dois être capable de…;q20;couvert
Une mesure est un nombre ET une unité;3e_C3.4;Act. 1 et 3 (55 min);15 relevés avec unité;§ Les sept mots;q21;couvert
On ne compare que ce qui a été obtenu pareil;3e_C3.4;Act. 2 (35 min);1 décision de verrouillage;§ Le protocole que j'ai proposé;q22, q30;couvert
Mesurer soi-même : le relevé qu'on n'a pas fait;3e_C3.4;Act. 3 (30 min);10 relevés comparés aux vraies valeurs;§ Ce que le banc a donné;q23;couvert (verrou flex5)
Consigner pendant l'essai, pas après;3e_C3.4;Act. 3 (30 min);tableau rempli pendant les essais;§ Ce que le banc a donné;q24;couvert
Choisir l'instrument d'après la grandeur cherchée;3e_C3.4;Act. 1 et bonus (25 min);1 réponse + défi laboratoire;§ Ce que mon essai n'a pas mesuré;q25;couvert
Le domaine de validité d'un modèle de calcul;3e_C3.4;Act. 3 (30 min);lecture de la flèche du PVC;§ Ce que le banc a donné;q26;couvert
Répéter la mesure pour savoir ce qu'elle vaut;3e_C3.4;Act. 5 (20 min);avis rédigé mentionnant les limites;§ Ce que mon essai n'a pas mesuré;q27;couvert
Ce qu'une valeur simulée permet et ne permet pas;3e_C3.4;Act. 3 et 5 (50 min);avis rédigé;§ Ce que mon essai n'a pas mesuré;q28;couvert
Exigence, caractéristique, performance : trois statuts;3e_C3.4;Act. 2 et 5 (55 min);2 décisions + avis;§ Je dois être capable de…;q29;couvert
