notion;code;où c'est travaillé;production de l'élève;section de synthèse;question du QCM;statut
Un manque n'est pas une panne;4e_C7.5;Rappel d'entrée + Act. 0;lecture + 6 associations;Manque et panne;q1;couvert
Le point de départ de la recherche;4e_C7.5;Act. 0;6 associations;Partir du cahier des charges;q2;couvert
Lire un symptôme pour éliminer;4e_C7.5;Act. 1;1 réponse avant tout test;Lire un symptôme;q3;couvert
La sortie de carte et la puissance;4e_C7.5;Act. 0 et 1;1 réponse + cas 1 monté;Décision et puissance;q4;couvert
Le rôle du relais;4e_C7.5;Act. 0 et 1;1 réponse + cas 1 monté;Décision et puissance;q5;couvert
Cas 1 — la pompe ne part jamais;4e_C7.5;Act. 1;cas 1 complété au banc;Lire un symptôme;q6;couvert
Cas 2 — la carte redémarre;4e_C7.5;Act. 2;1 relevé + 1 réponse;Le budget de courant;q7;couvert
Le manque intermittent;4e_C7.5;Act. 2;cas 2 complété au banc;Le budget de courant;q8;couvert
Cas 3 — la pompe ne s'arrête plus;4e_C7.5;Act. 3;1 réponse + cas 3 complété;La bonne grandeur;q9;couvert
Fonction tenue, besoin non satisfait;4e_C7.5;Act. 3;1 réponse;La bonne grandeur;q10;couvert
Compter le courant avant de brancher;4e_C7.5;Act. 2;1 relevé chiffré;Le budget de courant;q11;couvert
Le port de l'actionneur commandé;4e_C7.5;Act. 1;cas 1 complété au banc;Branchement et programme;q12;couvert
L'écran est un actionneur;4e_C7.5;Act. 0;6 associations;Deux actionneurs;q13;couvert
Deux actionneurs, deux usages;4e_C7.5;Act. 0 et 1;6 associations + 1 réponse;Deux actionneurs;q14;couvert
Vérifier qu'un manque est comblé;4e_C7.5;Act. 1 à 3;trois cas complétés;Vérifier qu'un manque est comblé;q15;couvert
Un symptôme utile à distance;4e_C7.5;REFAIRE;texte de réinvestissement;Lire un symptôme;q16;couvert
L'ordre du diagnostic;4e_C7.5;Act. 1 à 3;trois diagnostics lus;L'ordre du diagnostic;q17;couvert
Un constituant présent et inutile;4e_C7.5;Act. 3;cas 3 complété au banc;La bonne grandeur;q18;couvert
Sécurité — l'eau et l'électricité;4e_C7.5;Encadré sécurité;lecture;Sécurité;q19;couvert
Quand ce n'est plus un manque;4e_C7.5;REFAIRE;texte de réinvestissement;Quand ce n'est plus un manque;q20;couvert
Associer un constituant à sa fonction;4e_C4.4;Act. 0;6 associations;La chaîne d'information;q21;couvert
Le maillon qui décide;4e_C4.4;Act. 0;6 associations;La chaîne d'information;q22;couvert
Le sens de circulation;4e_C4.4;Act. 0 et 1;6 associations + 1 réponse;La chaîne d'information;q23;couvert
Une grandeur, un capteur;4e_C4.4;Act. 3;1 réponse;La bonne grandeur;q24;couvert
Reconnaître un actionneur;4e_C4.4;Act. 0;6 associations;La chaîne d'information;q25;couvert
Chaîne d'information et chaîne d'énergie;4e_C4.4;Act. 0 et 1;1 réponse;Décision et puissance;q26;couvert
Ce que le programme ajoute à la chaîne;4e_C4.4;Synthèse;lecture;La chaîne d'information;q27;couvert
Décrire pour transmettre;4e_C4.4;Act. 1 à 3;trois diagnostics lus;La chaîne d'information;q28;couvert
Le maillon caché;4e_C4.4;Act. 0;6 associations;Le constituant hors fonctions;q29;couvert
Lire un schéma de chaîne;4e_C4.4;Synthèse;lecture;La chaîne d'information;q30;couvert
