notion;competence;activite_enseignement;production_demandee;synthese;questions_qcm;statut_couverture
La coque évide en respectant une épaisseur;3e_C7.6;Palier 3 (10 min);le boîtier creux, une face ouverte;§ Les quatre gestes du boîtier;q2, q3, q4;couvert
Le joint, et la rainure qui le loge;3e_C7.6;Palier 4 (12 min);une rainure de 1 mm sur tout le contour;§ Les quatre gestes du boîtier;q5, q6, q7;couvert
Le passage de câble est le vrai point faible;3e_C7.6;Palier 5 (10 min);un perçage Ø12 chanfreiné, en partie basse;§ Les quatre gestes du boîtier;q8, q9, q13;couvert
Le couvercle se dessine à partir du boîtier;3e_C7.6;Palier 6 (12 min);un couvercle 80 × 60 avec sa nervure;§ Les quatre gestes du boîtier;q10, q11, q12;couvert
Ce qui est caché se vérifie en coupe;3e_C7.6;Paliers 3 à 6 (contrôle);une vue en coupe par palier;§ Vérifier ce qu'on ne voit pas;q16;couvert
L'ordre des opérations change la pièce;3e_C7.6;Paliers 2 à 6 (relecture);aucune;§ Vérifier ce qu'on ne voit pas;q17, q18;couvert
Orienter une pièce creuse pour l'impression;3e_C7.6;Palier 8 (6 min);deux STL orientés;§ Proposer et fabriquer;q19;couvert
Modéliser part d'un besoin, pas d'une procédure;3e_C7.6;Tout le TP;la liste des exigences, écrite avant le logiciel;§ Du besoin à la forme;q1, q14, q15;couvert
Un modèle décrit l'instant zéro;3e_C7.6;Palier 9 et bilan (6 min);une réserve écrite;§ Vérifier ce qu'on ne voit pas;q20;couvert
Produire un OST nouveau, ce n'est pas en améliorer un;3e_C7.2;Palier 2 + séquence 3e_C7.1;la fonction du boîtier, écrite;§ Proposer et fabriquer;q21, q24, q26;couvert
Un ensemble de solutions, pas une pièce;3e_C7.2;Palier 4 et 5 + séquence 3e_C7.1;deux solutions comparées;§ Proposer et fabriquer;q22, q23, q25;couvert
Proposer ET fabriquer : la confrontation au réel;3e_C7.2;Paliers 8 et 9 (12 min);les fichiers envoyés, la réserve écrite;§ Proposer et fabriquer;q27, q28, q29, q30;couvert
