notion;competence;activite_enseignement;production_demandee;synthese;questions_qcm;statut_couverture
La révolution : le contour tourne au lieu d'avancer;4e_C7.6;Palier 3 (10 min);le socle tourné;§ Les deux gestes nouveaux;q2, q5, q24;couvert
Le profil se pose contre l'axe, jamais à cheval;4e_C7.6;Palier 2 (12 min);le demi-profil dessiné et coté;§ Les deux gestes nouveaux;q3, q4;couvert
Congé et chanfrein : même menu, deux résultats;4e_C7.6;Palier 4 (8 min);la moulure du socle;§ Les deux gestes nouveaux;q6, q7;couvert
Un assemblage réunit des pièces qui existent déjà;4e_C7.6;Paliers 5 et 6 (12 min);les deux pièces insérées;§ L'assemblage et les contraintes;q8, q9, q17;couvert
La première pièce insérée est fixe : c'est la référence;4e_C7.6;Palier 6 (4 min);le socle posé, immobile;§ L'assemblage et les contraintes;q10;couvert
Une contrainte ne place pas : elle interdit un mouvement;4e_C7.6;Palier 7 (12 min);le dé centré sans viser;§ L'assemblage et les contraintes;q11, q12, q15, q26;couvert
Le connecteur de position vise le centre, pas un coin;4e_C7.6;Palier 7 (6 min);le dé posé dessus, pas dedans;§ L'assemblage et les contraintes;q13, q14;couvert
Une contrainte survit à la modification de la pièce;4e_C7.6;Palier 7 (6 min);une cote changée, le dé toujours centré;§ Modifier une forme;q16, q19, q20;couvert
L'arbre des fonctions est une chronologie;4e_C7.6;Paliers 3 et 4 (relecture);aucune;§ Modifier une forme;q18;couvert
On imprime des pièces, jamais un assemblage contraint;4e_C7.6;Palier 8 (8 min);deux fichiers STL;§ Emporter son travail;q21, q22, q28;couvert
Nommer avant d'avoir besoin du nom;4e_C7.6;Palier 1 (3 min);le document nommé;§ Emporter son travail;q25;couvert
La masse vient du volume et de la matière;4e_C7.6;Palier 9 (8 min);la masse relevée pour deux matières;§ Ce que le TP ne garantit pas;q27;couvert
Modifier une forme, et ce que la 3e ajoutera;4e_C7.6;Tout le TP;aucune;§ Ce que le TP ne garantit pas;q1, q23, q29, q30;couvert
