notion;competence;activite_enseignement;production_demandee;synthese;questions_qcm;statut_couverture
Ce qu'est une source d'énergie;5e_C7.4;Act. 0 et 1 (35 min);5 sources essayées au banc;§ Les sept mots;q1, q25;couvert (verrou : 5 sources)
Réservoir ou robinet : deux natures de source;5e_C7.4;Act. 0 (15 min);1 réponse après essai;§ Les sept mots;q2, q11;couvert (verrou)
Le watt-heure et le produit courant × durée;5e_C7.4;Act. 0 et 2 (35 min);5 relevés;§ Les sept mots;q3, q4;couvert
Énergie stockée et énergie utile;5e_C7.4;Act. 2 (20 min);5 relevés vérifiés;§ Ce que le banc a donné;q5, q6, q7;couvert (verrou : 5 sources)
Calculer et lire une autonomie;5e_C7.4;Act. 0 et 3 (35 min);1 réponse chiffrée;§ Ce que le banc a donné;q8, q9;couvert
La disponibilité d'une prise, critère à part entière;5e_C7.4;Act. 3 et 4 (30 min);1 réponse + 4 associations;§ Choisir dans un lieu;q10, q20;couvert
Un calcul juste peut répondre à côté;5e_C7.4;Act. 3 (20 min);1 réponse + justification;§ Choisir dans un lieu;q12;couvert
Choisir pour un objet DANS UN LIEU;5e_C7.4;Act. 3 et REFAIRE (30 min);justification + 4 lignes;§ Choisir dans un lieu;q13, q14;couvert
Le coût sur une durée, pas le prix d'achat;5e_C7.4;Act. 3 et bonus (20 min);1 réponse;§ Ce que le banc ne compte pas;q15;couvert
Pile ou accumulateur;5e_C7.4;Act. 1 et 4 (30 min);5 associations;§ Les sept mots;q16, q26;couvert
Sécurité : très basse tension et adaptateur scellé;5e_C7.4;Encadré + Act. 3 (20 min);lecture + 1 réponse;§ Sécurité;q17, q18;couvert
Le déchet, critère de choix;5e_C7.4;Act. 4 (10 min);4 associations;§ Ce que le banc ne compte pas;q19;couvert
Les formes d'énergie au départ;5e_C3.1;Act. 1 (20 min);5 associations;§ La chaîne d'énergie;q21, q22;couvert
La forme d'énergie à l'arrivée, et les pertes;5e_C3.1;Act. 1 (20 min);1 réponse;§ La chaîne d'énergie;q23, q27;couvert
Écrire une chaîne d'énergie avec ses flèches;5e_C3.1;Act. 1 (20 min);5 associations + 1 réponse;§ La chaîne d'énergie;q24, q29, q30;couvert
Repérer n'est pas choisir;5e_C3.1;Act. 1 et 3 (40 min);justification;§ Je dois être capable de…;q28;couvert
