notion;competence;activite_enseignement;production_demandee;synthese;questions_qcm;statut_couverture
Ce qui change quand personne ne lit;3e_C7.8;Rappel + Act. 0 (25 min);3 réponses après essai;§ Les neuf points;q1, q20;couvert (verrou : message essayé)
Le niveau calculé et la mesure brute;3e_C7.8;Act. 1 (25 min);2 réponses + message;§ Le message retenu;q2, q3;couvert (verrou : message valide)
Le numéro d'ordre;3e_C7.8;Act. 0 et 1 (45 min);2 réponses;§ Le message retenu;q4, q5;couvert
Ce qui ne circule pas : secret et volume;3e_C7.8;Encadré + Act. 1 (30 min);2 réponses;§ Le message retenu;q6, q7;couvert
Une règle d'accord a trois morceaux;3e_C7.8;Act. 2 (25 min);1 réponse + règle rédigée;§ La règle d'accord;q8, q11;couvert
La fraîcheur : un accord périmé;3e_C7.8;Act. 2 (25 min);1 réponse;§ La règle d'accord;q9;couvert
Le désaccord entre capteurs éloignés;3e_C7.8;Act. 2 (25 min);1 réponse;§ La règle d'accord;q10, q18;couvert
Le pire choix : ne jamais déclencher seule;3e_C7.8;Act. 3 (30 min);1 réponse après essai;§ Dégradé, pas éteint;q12, q16;couvert (verrou : lien coupé)
Le mauvais choix : déclencher sans le dire;3e_C7.8;Act. 3 (30 min);1 réponse après essai;§ Dégradé, pas éteint;q13;couvert (verrou)
Dégradé, pas éteint;3e_C7.8;Act. 3 (30 min);1 réponse + 1 phrase;§ Dégradé, pas éteint;q14;couvert (verrou)
Le délai de silence;3e_C7.8;Act. 3 (30 min);1 réponse;§ Les neuf points;q15;couvert
Trois valent mieux que deux;3e_C7.8;REFAIRE (20 min);4 lignes;§ Les neuf points;q17, q19;couvert
Proposer les essais avant;3e_C8.3;Act. 4 (30 min);6 associations;§ Les six essais;q21, q28;couvert
Le cas nominal ne prouve presque rien;3e_C8.3;Act. 4 (30 min);6 associations;§ Les six essais;q22, q23;couvert
Les essais de panne;3e_C8.3;Act. 4 (30 min);6 associations;§ Les six essais;q24, q25, q26;couvert
Un secours jamais testé;3e_C8.3;Encadré + Act. 4 (35 min);6 associations;§ Les six essais;q27;couvert
Ce qu'un essai prouve, et le procès-verbal;3e_C8.3;Act. 4 (30 min);6 associations;§ Les six essais;q29, q30;couvert
