notion;code;où c'est travaillé;production de l'élève;section de synthèse;question du QCM;statut
Ce qui décide du choix des constituants;3e_C7.5;Act. 0 et 1;4 associations + 4 choix;Du besoin au constituant;q1;couvert
Une exigence qui nomme une grandeur;3e_C7.5;Act. 1;1 choix + justification écrite;Du besoin au constituant;q2;couvert
Une exigence d'usage;3e_C7.5;Act. 1;1 choix + justification écrite;Fonction et usage;q3;couvert
Un constituant hors des quatre fonctions;3e_C7.5;Act. 0;1 association + 1 réponse;Le constituant hors fonctions;q4;couvert
Une exigence en déclenche une autre;3e_C7.5;Act. 4;3 relevés + 1 réponse;Les exigences se propagent;q5;couvert
Le budget de courant de la station;3e_C7.5;Act. 4;3 relevés chiffrés;Le budget de courant;q6;couvert
Choisir la source après les constituants;3e_C7.5;Act. 4;1 réponse;Le budget de courant;q7;couvert
Le port imposé par le programme;3e_C7.5;Act. 2;montage validé + 1 réponse;Branchement et programme;q8;couvert
Retirer l'anémomètre;3e_C7.5;Act. 3;1 association après retrait;Ce que coûte chaque retrait;q9;couvert
Retirer le bandeau;3e_C7.5;Act. 3;1 association après retrait;Ce que coûte chaque retrait;q10;couvert
Retirer la carte SD;3e_C7.5;Act. 3;1 association après retrait;Ce que coûte chaque retrait;q11;couvert
Retirer la batterie;3e_C7.5;Act. 3 et 4;1 association + 3 relevés;Le budget de courant;q12;couvert
Ce qu'un prototype ne prouve pas;3e_C7.5;Act. 4;lecture de l'encadré final;Ce qu'un prototype ne prouve pas;q13;couvert
Le même carton, deux stations;3e_C7.5;Bonus;montage de la station voisine;Du besoin au constituant;q14;couvert
Justifier un choix devant une commission;3e_C7.5;Act. 1;justification écrite;Défendre un choix;q15;couvert
Deux constituants, une même fonction;3e_C7.5;REFAIRE;texte de réinvestissement;Deux constituants, une fonction;q16;couvert
Ce que coûte une exigence ajoutée;3e_C7.5;REFAIRE;texte de réinvestissement;Les exigences se propagent;q17;couvert
L'accessibilité au bon moment;3e_C7.5;REFAIRE;texte de réinvestissement;Les exigences se propagent;q18;couvert
Sécurité — un actionneur de puissance;3e_C7.5;Encadré sécurité;lecture;Sécurité;q19;couvert
Le prototype et l'objet réel;3e_C7.5;Act. 4;lecture de l'encadré final;Ce qu'un prototype ne prouve pas;q20;couvert
Caractériser une chaîne d'information;3e_C4.3;Act. 0;4 associations;La chaîne d'information;q21;couvert
Analogique et numérique dans la chaîne;3e_C4.3;Act. 2;montage validé au banc;La chaîne d'information;q22;couvert
Le seuil, propriété du traitement;3e_C4.3;Act. 2;1 réponse;Branchement et programme;q23;couvert
Un maillon qui ne transforme rien;3e_C4.3;Act. 0;1 réponse;Le constituant hors fonctions;q24;couvert
Deux chaînes qui se rencontrent;3e_C4.3;Act. 3;4 associations;La chaîne d'information;q25;couvert
Décrire pour pouvoir diagnostiquer;3e_C4.3;Act. 3;4 associations;La chaîne d'information;q26;couvert
La grandeur et son unité;3e_C4.3;Act. 0 et 1;4 associations + justification;La chaîne d'information;q27;couvert
Le même objet, deux niveaux de description;3e_C4.3;Synthèse;lecture;La chaîne d'information;q28;couvert
Ce qu'un schéma bloc ne montre pas;3e_C4.3;Synthèse;lecture;La chaîne d'information;q29;couvert
Décrire une station qu'on n'a pas montée;3e_C4.3;Act. 0;4 associations;Du besoin au constituant;q30;couvert
