notion;competence;activite_enseignement;production_demandee;synthese;questions_qcm;correction_disponible;statut_couverture
Élaborer vs identifier/compléter (montée du cycle);3e_C4.1;Act. 1 (palette + gabarit);Schéma-bloc élaboré;Synthèse §1;1;oui;couvert
Ordre des blocs de la chaîne;3e_C4.1;Act. 1;5 blocs placés;Synthèse §1;2;oui;couvert
Rôle du régulateur;3e_C4.1;Act. 1 (+aide 2);Placement + lecture;Synthèse §1;3;oui;couvert
Nature stockée (chimique);3e_C4.1;Act. 1;4 natures;Synthèse §1;4;oui;couvert
Convertisseur 12→5 V (adapter la tension);3e_C4.1;Act. 1;Placement;Synthèse §1;5;oui;couvert
Blocs intrus (actionneurs de sortie);3e_C4.1;Act. 1;2 intrus démasqués;Synthèse §1;6;oui;couvert
W vs Wh;3e_C4.1;Act. 2;Calculs;Synthèse §2 et pièges;7;oui;couvert
Calcul d'énergie (Wh = W × h);3e_C4.1;Act. 2;432 Wh;Synthèse §2;8;oui;couvert
Capacité (Ah = Wh ÷ V);3e_C4.1;Act. 2;36 Ah;Synthèse §2;9;oui;couvert
Marge raisonnée (36 → 40 Ah);3e_C4.1;Act. 2 (choix catalogue);Choix justifié;Synthèse §2;10;oui;couvert
Autonomie simulée (verrou expérientiel);3e_C4.1;Act. 2 (simulateur);2 essais réels (échec + réussite);Synthèse §2;11;oui;couvert
Basculement secteur/batterie;3e_C4.1;Act. 1 + correction;Placement position 5;Synthèse §1;12;oui;couvert
Langage schéma-bloc (flèches = flux);3e_C4.1;Act. 1 + cahier;Schéma recopié annoté;Synthèse §1;13;oui;couvert
Partir du besoin (autonomie 72 h);3e_C4.1;Situation + act. 2;Discussion;Synthèse §2;14;oui;couvert
Transfert chaîne (borne du stade);3e_C4.1;R (act. 5);2 réponses;Synthèse §2;15;oui;couvert
Justifier = croiser les contraintes;3e_C4.2;Act. 4 (justification rédigée);Rédaction ≥ 2 contraintes;Synthèse §4;16,25;oui;couvert
Contrainte embruns (acier brut exclu);3e_C4.2;Act. 3 + 4;Association + choix;Synthèse §3;17;oui;couvert
Contrainte UV (plastiques);3e_C4.2;Act. 3;Association;Synthèse §3;18;oui;couvert
Étanche ET ventilé (contraintes croisées);3e_C4.2;Act. 3;Association;Synthèse §3;19;oui;couvert
Procédé ← forme + série;3e_C4.2;Act. 4 (abaque);8 choix;Synthèse §4;20;oui;couvert
Injection vs impression 3D (série vs unique);3e_C4.2;Act. 4 + R;Choix opposés justifiés;Synthèse §4;21,29;oui;couvert
Extrusion (profilés);3e_C4.2;Act. 4;Choix support;Synthèse §4;22;oui;couvert
Galvanisation (protection sacrificielle);3e_C4.2;Act. 4 (+correction);Choix mât;Synthèse §4;23;oui;couvert
Argument environnemental (recyclabilité);3e_C4.2;Act. 3 + 4;Association + justification;Synthèse §3-4;24;oui;couvert
Laminage (produits longs);3e_C4.2;Act. 4 (abaque);Choix procédé mât;Synthèse §4;26;oui;couvert
Réparable = argument environnemental;3e_C4.2;Act. 3 (+lien SOS station);Association;Synthèse §3;27;oui;couvert
Piège du « moins cher » (PVC, acier brut);3e_C4.2;Act. 4 (distracteurs);Choix évités;Synthèse pièges;28;oui;couvert
Démarche complète C4.2;3e_C4.2;Act. 3-4 + R;Séquence entière;Synthèse §3-4;30;oui;couvert
